'tween	在中間
duckbilled platypus	鴨嘴獸
ducking	淹沒
ductileness	延展性
ductless gland	內分泌物
ductulus	小導管
due east	東方
due north	北
due south	南部
due west	西方
dueller	決鬥者
duellist	決鬥者
duette	二重唱
duffel bag	粗呢
duffel coat	帶風帽之粗呢大衣
duffle bag	粗呢
dugout canoe	挖在山坡的洞
dulcify	使變甜
dulcinea	情婦
dulcorate	使變甜
dulled	麻木的
dumb show	啞劇
dumbass	劣學生
dumbstricken	驚愕失聲的
dumdum bullet	達姆彈
Dumetella carolinensis	貓聲鳥
dumfounded	驚愕失聲的
dummy up	傀儡
dumplings	湯糰
dumpsite	垃圾場
dunce's cap	笨蛋高帽
duncical	厚的
duncish	厚的
dunk shot	泡
dunnock	麻雀
duologue	對話
duomo	大教堂
duplicitous	兩手俱利的
durables	耐用品
duramen	赤木質
durum wheat	硬質小麥
dust-covered	滿是灰塵的
dust coat	撣子
dustbin	垃圾桶
dustcloth	撣子
dustpanful	簸箕
dustrag	撣子
dustup	爭吵
dusty miller	老太婆
dutch clover	酢漿草
Dutch florin	荷蘭盾
Dutch hoe	混戰#推式鋤
duty-bound	感激的
duty assignment	功課
duty period	轉換
duty tour	徵募
dweeb	磨
dwelling house	住處
dwindle away	減少
dwindle down	減少
dwindling	尖端細的
Dy	鏑
dyarchy	兩頭政治
dyed	有色的
dyer's mignonette	焊接處
dyer's rocket	焊接處
dying	死亡
dyke	小平頂髮式
dynamic headroom	淨空
dynamitist	使用炸藥者
dyslectic	誦讀困難者
dyslogistic	輕蔑的
dyspneal	气喘吁吁的
dyspneic	气喘吁吁的
dyspnoeal	气喘吁吁的
dyssynergia	運動失調
dysthymic depression	心境惡劣
e'er	總是
E-Mycin	紅黴素
E.S.P.	透視
each week	周刊
each year	每年
eager beaver	通電的電線
eagre	孔
ear-like	耳狀的
ear-shaped	耳狀的
ear-shell	鮑魚
ear doctor	耳科醫師
ear specialist	耳科醫師
earlap	禦寒用之耳罩
earlier	較早
early childhood	幼年
early days	青春
early on	早的
earreach	聽力所及之範圍
Earth's crust	外殼
Earth's surface	面
earth-ball	塊菌
earth-closet	外屋
earth tremor	震動
earthball	塵菌
earthenware jar	瓦罐
earthing	放在地面上
earthly concern	世界
earthnut	塊菌
ease off	旗
ease up	讓步
easing	緩和
East Indian fig tree	菩提樹
east wind	復活節
eastern chipmunk	黃鼠
eastern hemisphere	東方的
Eastern hop hornbeam	鐵木樹
eastwards	向東
easy going	一帆風順
easy lay	肥皂
eat at	腐蝕
eat into	苦惱
eat on	吃
eat out	外出吃飯
eatage	糧草
eating away	腐蝕
eating house	餐廳
eating place	餐廳
eating utensil	刀
eats	中國種狗
ebb away	退潮
ebb down	退潮
ebb off	退潮
ebb out	退潮
ebbing	退潮
ebon	黑檀
ebony tree	黑檀
ebulliently	豐富地
Ecballium elaterium	鳳仙花
eccentric person	古怪的人
ecclesiastical benefice	僧侶之祿
ecclesiastical law	教會法
ecdysiast	清除的人
ecesis	確立
ECG	心電圖
echidna	食蟻獸
echo sounder	聲納
echo sounding	回波定位
echography	超頻率音響
echolike	擬聲的
echt	真正的
eclectic method	折衷派
eclecticist	選擇的
eclipsis	省略
ecologic	生態的
ecological niche	壁櫥
ecological succession	連續
economic aid	幫助
economic assistance	幫助
economic consumption	消費
economic crisis	不景氣
economic expert	經濟學者
economic rent	租金
economic science	經濟學
economic system	經濟
economic value	價值
economise	救球
economiser	節儉的人
ecphonesis	驚呼
ecrevisse	小龍蝦
ECT	電擊療法
ectopic gestation	子宮外孕
ectozoan	皮外寄生物
ectozoon	皮外寄生物
ecumenicalism	泛基督教主義和運動
ecumenicism	泛基督教主義和運動
edda	芋頭
eddo	芋頭
edematous	水腫的
edental	貧齒目動物
edentulate	貧齒目動物
edible asparagus	蘆筍
edible bean	豆子
edible corn	小麥
edibleness	適食性
edit out	編輯
editor program	編輯
editorialise	發表社論
EDP	電子資料處理
educatee	學生
educational activity	教育
edulcorate	使變甜
EE	電機工程
EEG	腦電圖
eelpout	噘嘴
eff	愛
effaceable	可消除的
effected	實現的
effecter	受動器
effectivity	效力
effectuality	效力
effectually	有效果的
effectualness	效力
effeminateness	柔弱
effeminise	具有女性風度
effeminize	具有女性風度
efferent nerve	輸出的
efferent neuron	運動神經單位
effervescing	香檳酒
efficaciousness	功效
efflux	流出
egest	排泄
egg-laying mammal	單孔目動物
egg-shaped	橢圓的
egg cell	卵
egg laying	放置
egg on	刺針
egg yolk	蛋黃
eggplant bush	茄子
eggs	蛋
eggwhisk	打蛋器
egis	護胸甲
egocentrism	自我主義
egression	出口
Egyptian cobra	白楊
Egyptian paper reed	紙草
Egyptian paper rush	紙草
Egyptian pea	雞豆
Egyptian pound	磅
Egyptian water lily	蓮花
eider duck	絨鴨
eight-spot	八字形
eighter	八字形
eighter from Decatur	八字形
eightsome	八重唱
eightvo	八開紙
Einstein's theory of relativity	有關係
eitchen midden	貝塚
ejection seat	膠囊
ejector seat	膠囊
eke out	填寫
EKG	心電圖
EL	海拔
El Salvadoran colon	結腸#冒號#科朗
elaborated	詳細的
elaborateness	精心製作
elan vital	生命力
elapid snake	眼鏡蛇
elastic band	橡皮筋
elated	愉快的
elbow bone	尺骨
elbow grease	努力
elbow joint	手肘
elbow room	房間
eld	晚年
elderberry bush	年長者
eldest	長子
eldritch	命運
elected	選修課程
elective course	選修課程
electric-light bulb	球莖
electric arc	卸貨
electric automobile	導電的
electric battery	電池
electric cell	單元
electric circuit	電路
electric cord	繩索
electric discharge	卸貨
electric fan	吹製工
electric fire	電暖氣
electric glow	日冕
electric healing	電療法
electric organ	電子琴
electric outlet	出口
electric pig	處理
electric potential	潛在性
electric ray	水雷
electric razor	理髮師
electric receptacle	出口
electric refrigerator	電冰箱
electric resistance	阻抗
electric sander	打磨器
electric shaver	理髮師
electric storm	大雷雨
electric switch	開關
electrical capacity	電容
electrical condenser	電容器
electrical distributor	播送者
electrical energy	電
electrical fuse	導火線
electrical healing	電療法
electrical outlet	出口
electrical power	電力
electrical relay	接替
electrical resistance	阻抗
electrical shock	觸電
electrical shunt	轉軌
electrical storm	大雷雨
electrical switch	開關
electrocardiography	心電描記器
electroconvulsive therapy	電擊療法
electrolytic capacitor	電解的
electrolytic condenser	電解的
electromagnetic unit	食火雞
electromagnetics	電磁
electron lens	透鏡
electron orbit	軌道
electron tube	管
electronegativity	否定性
electroneutral	中立者
electronic bulletin board	佈告欄系統
electronic jamming	擁擠
electronic network	網眼織物
electronic scanner	掃描器
electronic stylus	光筆
electronic transistor	電晶體
Electrophorus electric	電鰻
electroshock therapy	電擊療法
electrostatically	靜電的
elementarily	初步的
Elettaria cardamomum	小豆蔻
elevated railroad	高架鐵道
elevator car	汽車
elflike	小精靈
elite group	精華
Elixophyllin	茶鹼
ellipsoid of revolution	球狀體
elm tree	榆樹
elmwood	榆樹
elocute	演說術的
elongated	廣大的
eluding	滑動
elvish	小精靈
em	12磅因的活字
emaciated	死屍樣的
email	電子郵件
emancipated	被解放的
emancipationist	奴隸制度廢止論者
emasculated	傷口
embarkment	寄膳宿
embarrassing	笨拙的
embayment	海灣#隔間
Emberiza hortulana	蒿雀
embodied	下士#聖餐布
embossed	浮雕的
embracement	擁抱
embracing	擁抱
embrangle	吠
embrocate	塗以油或軟膏
embroidery frame	鼓
embroidery hoop	鼓
embrown	褐色
embryologic	胚胎的
embryonic membrane	胎膜
embryotic	胚胎的
emeer	酋長
emergency exit	防火梯
emergency landing	緊急降落
emerging	上升的
EMG	肌動電流圖
emigree	移民
emmet	螞蟻
emotional state	精神
emotionlessness	無知覺
empale	刺穿
empanel	列名在陪審名單
empathetically	悲憐地
empathise	同情
emperor butterfly	皇帝
emperor moth	皇帝
emphasise	劃線於...下
emphasised	語調強的
emphasized	語調強的
emphasizing	重讀
empiricist philosophy	經驗主義
Empirin	阿斯匹林
employee turnover	翻倒
emptor	買主
empty-bellied	倒空
empty-handed	不獲報答的
empty-headed	使頭暈眼花
empty talk	談判
empty words	談判
emptying	宣告無效
empurple	紫色
empurpled	紫色
empyreal	最高天
Emu novaehollandiae	食火雞
en	堅果
en masse	全體
en route	在途中
enamour	抓取
enarthrodial joint	球窩關節
enate	母親的
enatic	母親的
enation	母系族譜
encephalitis lethargica	嗜眠性腦炎
enchiridion	手冊
encipher	編碼
encircling	裙料
enclosed space	洞
enclosing	附件
enclothe	女裝
encoding	加密
encomiastic	作頌詞的
encompassing	包括一切的
encroach upon	侵略
encroacher	入侵者
encroaching	侵入的
encrusted	有硬殼的
enculturation	社會化
encyclical letter	羅馬教皇之通諭
encyclopaedia	百科全書
encyclopaedic	百科全書的
encyclopaedism	博學
encyclopedism	博學
end-to-end	在所有各處
end of the world	結帳日
end on	末端朝上
end point	終止
end run	打掃
end up	捲起
endangerment	危險
endearing	值得崇拜的
endeavour	企業
ended	使齊全
endemic disease	風土的
endemical	風土的
endermatic	塗在皮膚上的
endocarp	石
endocrinal	內分泌物
endocrine gland	內分泌物
endodontia	牙髓病學
endogamic	同族結婚的
endogen	單子葉植物
endogenic	內長的
endogenously	內長的
endorsement in blank	不記名背書
endovenous	靜脈內的
endowment fund	捐助
endozoan	體內寄生物
endozoic	內寄生的
endpoint	終止
endue	捐贈
endurance contest	馬拉松賽跑
enduringly	持久的
enduringness	耐久性
endwise	末端朝上
energise	刺激
energiser	賦予生氣者
energising	運動的
energize	刺激
energizer	賦予生氣者
energizing	活化
enervated	無力的
enfilade fire	縱向射擊
enfolding	捲繞
engild	把...鍍金
engine block	街區
engine cooling system	冷卻系統
engine driver	工程師
engine room	工程
engineering school	各種工藝的
engineering science	工程
English-Gothic	垂直線
English-Gothic architecture	垂直線
English breakfast tea	剛果
English bulldog	牛頭犬
English cocker spaniel	一種英國的小獵犬
English hawthorn	五月
English ivy	常春藤
English plantain	鼠李
englut	峽谷
engorged	擁擠的
engraft	嫁接用的嫩枝
engrossed	俘虜
engrossing	吸引人的
enhancer	箔
enhancive	增加的
enjambement	詩句之連續
enjoining	命令
enjoinment	命令
enkindle	點燃
enlace	糾纏
enlarged	誇張的
enlarged heart	心肥大
enlightening	情報的
enlisted officer	軍士
enlisting	徵募新兵
enlivened	有精神的
enlivener	補藥
ennead	九
enormousness	雄偉
enounce	發...的音
enquiringly	好奇地
enraged	狂怒的
enraptured	狂喜的
ensnarl	使絆住
ensuant	出席者
enter upon	突然產生
enteral	腸內的
enteric fever	傷寒症
entering	入口
Enterobius vermicularis	蟯蟲
enteroceptor	內感器
enterprisingly	有事業心的
enterprisingness	企業
enthral	施魔法
enthrall	施魔法
enthralled	高興的
enthrallingly	迷人地
enthronisation	加冕禮
enthronization	加冕禮
enticing	誘惑人的
entoderm	內胚葉
entoparasite	體內寄生物
entozoan	體內寄生物
entrance exam	入學考試
entrance money	入場費
entranced	高興的
entrancement	掠奪
entranceway	入口
entrancing	迷人的
entrepot	倉庫
entresol	夾樓
enviousness	羡慕
environ	包圍
environmental science	生態學
envoy extraordinary	外交使節
enwrap	包封
enwrapped	俘虜
eonian	永久的
eosinophile	嗜伊紅血球
epaulette	肩章
epha	以砝
ephemeron	朝生暮死的
epic poem	史詩
epical	史詩
epicalyx	副萼
epicanthic fold	內眥贅皮
epicene person	具有兩性者
epicentre	震中
epidemic cholera	霍亂
epidemic encephalitis	嗜眠性腦炎
epidemic meningitis	腦膜炎
epidemic myalgia	瞳孔縮小
epidemic parotitis	耳下腺炎
epidemic pleurodynia	瞳孔縮小
epidemic roseola	德國麻疹
epidemiologic	流行病學的
epidural anaesthesia	硬腦膜上的
epidural anesthesia	硬腦膜上的
Epigaea repens	五月花號
epilate	拔毛
epilator	脫毛藥
epilepsia minor	癲癇小發作
epilog	結語
Epinephelus fulvus	兔子
epinephrin	腎上腺素
Epipactis gigantea	喋喋不休者
epiphysis cerebri	腦上體
episodically	插話式的
epistolatory	書信的
epistrophe	淚漏
epithelial duct	輸送管
epithelial tissue	上皮
epitomise	代表
epitomize	代表
epitope	決定因素
epizoan	皮外寄生物
epoch-making	新紀元的
epos	史詩
eq	同等物
equal to	有能力的
equalisation	同等化
equalise	使相等
equaliser	使相等的東西
equanimous	收集成的
equating	相等
equiangular triangle	等邊三角形
equid	馬的
equilibrise	平衡
equilibrize	平衡
equinoctial circle	天球赤道
equinoctial line	天球赤道
equinoctial point	晝夜平分點
equinoctial year	太陽年
equipment casualty	損害
equipment failure	崩潰
equipping	軍備
equivalent weight	同等物
equivalent word	同義字
equivocalness	可作兩種解釋
Equus asinus	驢子
Equus caballus	馬
Er	鉺
erecting	直立
erectness	垂直
eremitical	隱士的
Ergotrate Maleate	麥角新鹼
Erica arborea	荊棘#用石南根製成之煙斗
Erigeron canadensis	飛蓬
Erinaceus europaeus	蝟
Erinaceus europeaeus	蝟
Eriobotrya japonica	枇杷樹
eristic	爭論者
Erithacus rubecola	知更鳥
eroding	腐蝕
Erodium cicutarium	絲狀蟲
Erolia minutilla	節省
erotic love	愛
erroneous belief	錯誤
erroneousness	錯誤
Eruca sativa	飛彈
Eruca vesicaria sativa	飛彈
eruditeness	博學
eruptive	火的
Erysimum cheiri	壁花
erythema solare	曬斑
Erythrocin	紅黴素
erythrocytolysin	溶血素
erythrolysin	溶血素
escalator clause	電動扶梯
escape cock	安全閥
escape from	搖動
escaped	未被捕
escarp	懸崖
eschalot	蔥
eschaton	結帳日
Eskimo dog	高大健壯的人#愛斯基摩犬
Esox masquinongy	美國產大梭魚
ESP	透視
espial	察覺
essayer	試驗者
essential condition	必要條件
essential hypertension	血壓過高
essentialness	必要性
estate car	旅行車
estate of the realm	不動產
estate tax	遺產稅
esteemed	享有聲望的
esthetic	美學的
esthetical	美學的
esthetically	審美地
estragon	龍嵩
Estronol	雌激素酮
esurience	貪吃
esurient	非常饑餓的
etc.	等等
etched	被深深印入的
eternal damnation	非難
eternal rest	休息
eternal sleep	休息
eternalise	使永恆
eternalize	使永恆
eternise	使永恆
eternize	使永恆
ethanal	乙醛
ethanal trimer	三聚乙醛
ethanamide	乙醯胺
ethanediol	乙二醇
ethanoate	醋酸鹽
ethanoic acid	乙酸
ethanoyl group	醋酸基
ethanoyl radical	醋酸基
ethene	乙烯
ethical code	道德規範
ethical drug	處方
ethical motive	倫理學
ethmoid bone	篩骨
ethnic music	民間音樂
Ethocaine	普魯卡因
ethoxyethane	乙醚
Ethril	紅黴素
ethyl aminobenzoate	苯坐卡因
ethyl ether	乙醚
ethyl group	乙基
ethyl radical	乙基
ethylene glycol	乙二醇
ethyne	電石氣
Etna	本生燈
etymologizing	誘導
etymon	根
Eu	銪
eubacteria	真細菌
eucalypt	桉樹
Eucalyptus amygdalina	薄荷
eucalyptus tree	桉樹
eudaemonia	福利
eudaimonia	福利
Eugenia aromaticum	丁香#小鱗莖
Eugenia caryophyllatum	丁香#小鱗莖
eulogise	稱讚
eulogium	贊詞
Eunectes murinus	蟒蛇
Euonymus americanus	衛矛
Euonymus atropurpureus	衛矛
Eupatorium coelestinum	藿香
euphonous	悅耳的
Euphorbia pulcherrima	聖誕紅
euphory	安樂感
eupneic	呼吸
eupnoea	呼吸正常
eupnoeic	呼吸
European blackbird	山鳥類
European blueberry	越橘
European elder	接骨木之果實
European hop	蔓
European olive tree	橄欖
European wolf spider	鳥蛛
Eustoma grandiflorum	藍鐘花
eutherian	胎盤的
eutherian mammal	胎盤的
eV	電子伏特
evaluator	法官
evangelise	傳福音
evaporable	可揮發的
evaporometer	蒸發計
evasive action	調動
even-tempered	平靜的
even a little	絲毫
even as	正如...
even chance	擲錢幣
