a	累加器
double precision	雙倍精蜜度
double refraction	雙折射
double salt	復鹽
double standard	雙重標準
double time	雙薪工時
double vision	復視
double-acting	雙動的
double-action	復動式
double-barrelled	雙管的
double-breasted	雙排鈕扣的
double-check	對
double-click	雙擊
double-cross	欺騙
double-dealing	兩面派行為
double-decker	雙層船
double-dyed	兩次染色的
double-edged	雙刃的
double-faced	兩面可用的
double-jointed	雙關節的
double-space	隔行打
doublet	成對物
doublethink	雙重思想
doubloon	達布隆
doubly	加倍地
doubt	懷疑
doubtful	可疑的
doubtless	無疑的
douce	莊重的
douche	灌洗液
dough	生面團
doughboy	團子
doughnut	油炸圈餅
doughty	強悍的
dour	陰沉的
douse	插入水中
dove	鴿子
dovecote	鴿棚
Dover	多佛
dovetail	楔形榫頭
dowdy	過時的
dowel	銷子
dower	嫁妝
down	向下的
down payment	已付定金
down under	在
downbeat	強拍
downcast	氣餒的
downcomer	下降管
downcountry	在沿海地區
downer	鎮定劑
downfall	衰敗
downgrade	降低
downhearted	垂頭喪氣的
downhill	下坡的
downland	丘陵地
downlink	下行鏈路
download	卸載
downpipe	水落管
downplay	不予重視
downright	明白的
downspout	降液管
downstairs	樓下
downstream	下遊地
downswing	下降趨勢
downthrow	推翻
downtime	停工期
downtown	市中心區
downtrend	下降趨勢
downtrodden	被蹂躪的
downturn	衰退
downward	向下的
downwind	順風的
downy	絨毛的
dowry	嫁妝
dowse	探尋水源
doxology	上帝贊美詩
doxorubicin	阿霉素
doxy	情婦
doxycycline	多西環素
doyen	老資格
doyenne	女性老前輩
doze	打瞌睡
dozen	打
dozer	打瞌睡的人
dozy	想睡的
DP	數據處理
DPT	二苯硫尿
Dr	博士
dr.	變性反應
drab	土褐色的
drabble	拖髒
dracaena	朱蕉屬
drachm	英錢
drachma	德拉馬克
Draco	天龍星座
draconian	嚴厲的
draff	殘渣
draft	氣流
draft board	征兵局
draft dodger	逃兵役者
draftsman	起草者
drag	拖
draggle	拖髒
draggy	拖拉的
dragline	拖索
dragnet	拖網
dragoman	譯員
dragon	龍
dragon's blood	血竭
dragonet	小龍
dragonfly	蜻蜓
dragoon	龍騎兵
drail	加鉛魚鉤
drain	排水溝
drainage	排水
drainage tube	引流管
drainboard	滴水板
drainer	排水器
draining board	洩水板
drainpipe	排水管
drake	公鴨
Dralon	特拉龍
dram	打蘭
drama	戲劇
Dramamine	茶苯海明
dramatic	戲劇性的
dramatics	演劇活動
dramatist	劇作家
dramatize	改編成戲劇
dramaturge	劇作家
dramaturgy	戲劇作法
drank	的過去式
drape	布簾
draper	布商
drapery	幃帳
drastic	激烈的
drat	詛咒
draught	氣流
draughtboard	西洋棋盤
draughts	國際跳棋
draughtsman	起草人
draughty	通風的
draw	拉
draw sheet	抽單
drawback	缺點
drawbar	掛鉤
drawbridge	吊橋
drawdown	水位降低
drawee	付款人
drawer	抽屜
drawing	圖畫
drawing board	制圖板
drawing pin	圖釘
drawing room	客廳
drawl	慢吞吞地說
drawn	拔出的
drawn-out	拖長的
drawstring	束帶
dray	運貨馬車
dray horse	挽馬
dread	恐懼
dreadful	可怕的
dreadfully	非常
dreadnought	厚呢大衣
dream	夢
dreamboat	夢中人
dreamer	做夢的人
dreamland	夢境
dreamlike	夢一般的
dreamy	空幻的
dreary	沉悶的
dredge	挖泥機
dredger	疏浚機
dree	忍耐
drench	使濕透
Dresden	德累斯頓
dress	服裝
dress coat	燕尾服
dress rehearsal	彩排
dresser	化妝台
dressing	調味品
dressing room	修整工段
dressing station	裹傷站
dressing-down	狠狠訓斥
dressmaker	裁縫
dressy	衣著考究的
drew	的過去式
dribble	流口水
dribs and drabs	點滴
dried	弄幹了的
drift	漂流物
drifter	漂流者
driftwood	漂流木
drill	鑽孔機
drill press	直立鑽床
drillmaster	教練
drily	幹燥地
drink	飲料
drinkable	可以喝的
drinker	飲者
drinking fountain	飲水泉
drinking water	飲用水
drip	水滴
drip feed	滴給
drip-dry	吊著晾幹
dripping	滴
drippy	滴水的
dripstone	滴水石
drive	駕車
drive belt	傳動皮帶
drive-in	免下車餐館
drivel	淌口水
driven	有緊迫感的
driver	駕駛員
driving	趕
driving licence	駕駛執照
driving wheel	驅動輪
drizzle	細雨
drogue	風向袋
droit	權利
droll	好笑的
drome	飛機場
dromedary	單峰駱駝
drone	雄蜂
drone fly	蜂蠅
drool	流口水
droop	下垂
drop	滴
drop curtain	垂幕
drop scene	可升降幕布
drop shot	扣球
drop shoulder	肩下垂
drop test	墜落試驗
drop-down	下拉
drop-in	冒
drop-off	下降
droplet	小滴
droplight	吊燈
dropout	退學學生
dropper	滴管
droppings	禽獸的糞便
dropsical	水腫的
dropsy	水腫
drosera	茅膏菜
drosophila	果蠅
dross	浮渣
drought	幹旱
drouth	旱災
drove	畜群
drown	淹死
drowse	瞌睡
drowsiness	睡意
drowsy	昏昏欲睡的
drub	用棒打
drubbing	毆打
drudge	做苦工的人
drudgery	苦差事
drug	藥
drug addict	吸毒者
drugget	粗毛織物
druggist	藥商
drugstore	藥房
Druid	巫師
drum	鼓
drumbeat	鼓聲
drumhead	鼓面皮
drumlin	鼓丘
drummer	鼓手
drumstick	鼓槌
drunk	喝醉了的
drunkard	酒鬼
drunken	酒醉的
drunkenness	醉酒
drupe	核果
dry	幹的
dry battery	幹電池
dry cell	幹電池
dry cough	幹咳
dry distillation	幹餾
dry goods	幹貨
dry lease	幹租賃
dry plate	幹版
dry point	幹點
dry rot	幹枯
dry run	演習
dry well	幹井
dry-clean	幹洗
dry-cure	幹醃
dry-nurse	當保姆
dry-salt	幹醃
dry-shod	使腳
dryad	樹神
dryasdust	學究
dryer	幹衣機
drying oil	幹性油
Ds	數據系列
DSO	數據安全員
DU	定義使用
dual	雙重的
dual control	對對偶控制
dual nationality	雙重國籍
dual-purpose	雙重目的的
dualism	雙重性
duality	二元性
dub	配音
dubbing	配音復制
dubiety	可疑性
dubious	可疑的
dubitable	可疑的
dubitation	懷疑
Dublin	都柏林
ducal	公爵的
ducat	入場券
duchess	公爵夫人
duchy	公爵領地
duck	鴨子
duck-billed platypus	鴨嘴獸
duckling	小鴨子
duckweed	浮萍
ducky	極好的
duct	管
ductile	易延展的
ductless	無管的
ductule	小管
ductus	管
dud	衣服
dude	花花公子
dudgeon	生氣
due	應得的東西
due date	預定日期
due process	正當手續
duel	決鬥
duenna	少女的保姆
duet	二重奏
duff	水果幹布丁
dugong	儒艮
dugout	防空壕
duke	公爵
dukedom	公爵領土
dulcamara	蜀羊泉
dulcet	悅目的
dulciana	柔音音栓
dulcify	弄甜
dulcimer	洋琴
dull	鈍的
dull-witted	笨的
dullard	蠢人
dulse	掌狀紅皮藻
duly	恰當地
dum	期間內
Duma	杜馬
Dumas	足雅司病
dumb	啞的
dumbfound	使
dumdum	達姆彈
dummy	傀儡
dummy run	虛序串
dumortierite	藍線石
dumper	垃圾車
dumping ground	垃圾場
dumping syndrome	傾倒綜合征
dumpling	面團布丁
dumpy	矮胖的
dun	催促者
dunderhead	笨蛋
dune	沙丘
dung	糞
dungaree	粗藍布
dungeon	地牢
dunghill	糞堆
dunk	浸一浸
Dunkirk	敦刻爾克
dunlin	黑腹濱鷸
dunnage	襯板
dunnock	林岩鷚
duo	二重唱
duo-	二
duodecimo	十二開
duodenary	十二的
duodenitis	十二指腸炎
duodeno-	十二指腸
duodenum	十二指腸
duologue	對白
duotone	雙色版
dupe	傻瓜
duple	二倍的
duplet	電子偶
duplex	雙的
duplicate	副本
duplication	副本
duplicator	復印機
duplicity	口是心非
dura	硬腦
durability	耐久性
durable	持久的
durable goods	耐用品
Duralumin	硬鋁
duramen	心材
durance	禁錮
duration	持續時間
durative	持續的
durbar	接見室
duress	強迫
Durham	達勒姆郡
during	在
durn	責難
durra	高粱
durum	硬粒小麥
dusk	薄暮
dusky	微暗的
dust	灰塵
dust cover	防塵罩
dust shot	最小號子彈
dust storm	塵暴
dustbin	垃圾箱
dustcart	垃圾車
duster	撢子
dustheap	垃圾堆
dusting powder	撒粉
dustman	清潔工人
dustpan	畚箕
dusty	灰塵多的
dutch	荷蘭人
Dutch auction	荷蘭式拍賣
Dutch cap	陰道隔
Dutch courage	酒後之勇
Dutchman	荷蘭人
duteous	順從的
dutiable	應納關稅的
dutiful	盡職的
duty	責任
duty cycle	忙閒度
duty-bound	義不容辭的
duty-free	免稅的
duty-paid	已完稅的
duumvir	兩執政之一
duumvirate	二人執政
duvet	羽絨被
dwarf	矮子
dwarfism	矮小
dwell	居住
dwell time	停延時間
dwelling	住處
dwelling house	住宅
dwindle	減少
dwt	載重噸位
Dy	鏑
dyad	二
dye	顏料
dye laser	染料激光器
dyer	染色工
dyestuff	染料
dying	垂死的
dyke	堤
dynamic	動態的
dynamic equilibrium	動平衡
dynamic range	動態範圍
dynamic viscosity	動態粘度
dynamics	動力學
dynamism	物力論
dynamite	炸藥
dynamo	發電機
dynamometer	測力計
dynast	君主
dynasty	朝代
dyne	達因
dynode	二次發射極
dys-	困難
dysaesthesia	感覺遲鈍
dysarthria	構音障礙
dyscrasia	惡液質
dysentery	痢疾
dysfunction	機能不良
dysgenic	種族退化的
dysgraphia	書寫困難
dyskinesia	運動障礙
dyslalia	構音困難
dyslexia	誦讀困難
dysmorphia	畸形
dyspareunia	交媾困難
dyspepsia	消化不良
dyspeptic	消化不良的
dysphagia	咽下困難
dysphasia	語言困難
dysphonia	發聲困難
dysphoria	煩躁不安
dysplasia	發育異常
dyspnoea	呼吸困難
dyspraxia	運用障礙
dysprosium	鏑
dysrhythmia	節律障礙
dystocia	難產
dystonia	張力障礙
dystrophic	營養不良的
dystrophy	營養障礙
dysuria	排尿困難
e	元件
e-	出
E-boat	魚雷快艇
E-layer	導層
E-region	範圍
e.g.	舉例來說
each	每個
each other	彼此
eager	熱心的
eagerness	熱心
eagle	鷹
eaglet	小鷹
eagre	湧潮
ear	耳朵
ear drops	滴耳劑
ear trumpet	助聽筒
ear-piercing	刺耳的
earache	耳朵痛
eardrum	中耳
earful	驚人
earhole	耳孔
earl	伯爵
earldom	伯爵的身分
earlobe	耳垂
early	早的
early warning system	預警系統
earmark	耳上記號
earmuffs	耳套
earn	賺得
earned income	經營收益
earnest	定金
earnest money	定金
earnings	所賺的錢
earphone	耳機
earpiece	耳機
earplug	耳塞
earring	耳環
earth	地球
earth closet	裝土便桶
earth station	地面站
earthen	土制的
earthenware	陶器
earthling	世人
earthly	地球的
earthnut	花生
earthquake	地震
earthshaking	驚天動地的
earthshine	地球反照
earthward	向地球的
earthwork	土木工事
earthworm	蚯蚓
earthy	土的
earwax	耳垢
earworm	螟蛉
ease	安樂
easeful	舒適的
easel	畫架
easement	緩和
easily	容易地
east	東方
eastbound	往東的
Easter	復活節
Easter Day	復活節
easterly	東的
eastern	東方人
Eastern Europe	東歐
easterner	東方人
Eastertide	復活節週
easting	東行航程
eastward	朝東方向
easy	容易的
easy chair	安樂椅
easy-going	隨和的
eat	吃
eatable	可以吃的
eater	吃
eatery	簡便飲食店
EAU	水
eau de cologne	科隆水
eau de vie	白蘭地
eaves	屋簷
eavesdrop	偷聽
ebb	退潮
ebonite	硬橡膠
ebony	烏木
ebullience	沸騰
ebullient	沸騰的
ebullition	沸騰
EC	電子計算機
ECB	事件控制塊
ecbolic	催生的
eccentric	怪人
eccentricity	古怪
ecchymosis	瘀斑
ecclesiastic	神職人員
ecclesiastical	教會的
ecclesiasticism	恪守教規
ecclesiology	教會學
eccrine	外分泌的
ecdysiast	脫衣舞女
ecdysis	蛻皮
ecdysone	蛻皮素
ECG	心電圖
echelon	梯形
echidna	針鼴鼠
echinacea	鬆果菊屬
echinoderm	棘皮動物
Echinodermata	棘皮動物門
Echinoidea	海膽綱
echinus	海膽
echo	回聲
echo chamber	回音室
echo sounder	回聲器
echocardiogram	心回波圖
echoencephalography	腦回聲
echoic	擬聲的
echolalia	模仿言語
echolocation	回聲測定
echopraxia	模仿行動
eclampsia	驚厥
eclectic	折衷主義者
eclipse	日食
ecliptic	黃道
eclogue	牧歌
ecological	生態學的
ecology	生態學
econometrics	計量經濟學
economic	經濟上的
economic indicator	經濟指標
economical	節儉的
economically	節約地
economics	經濟學
economist	經濟學者
economize	節約
economy	經濟
ecosystem	生態系統
ecotype	生態型
ecru	本色的
ecstasize	使心醉神迷
ecstasy	狂喜
ecstatic	狂喜的人
ecto-	外
ectoderm	外胚層
ectogenesis	體外發生
ectomorph	瘦型體質者
ectoparasite	外寄生物
ectopic	異位的
ectopic beat	異位搏動
ectopic pregnancy	子宮外妊娠
ectoplasm	外胚層質
ectotherm	冷血動物
ectropion	外翻
Ecuador	厄瓜多爾
ecumenical	一般的
eczema	濕疹
ED	電子設備
edacious	貪吃的
edaphic	土壤的
eddy	逆流
eddy current	渦流
edelweiss	高山火絨草
Eden	伊甸園
Edentata	貧齒目
edentate	無齒的
edentulous	無牙的
edge	邊緣
edge connector	印制板插頭
edge tool	利器
edgeways	以刃向外
edging	邊緣
edgy	刀口銳利的
edible	食品
edict	布告
edification	啟迪
edifice	大廈
edify	啟迪
Edinburgh	愛丁堡
Edison	愛迪生
edit	編輯
edition	版本
editor	編者
editorial	社論
editorialize	發表社論
editress	女編輯
educable	可教育的
educate	教育
educated	受過教育的
education	教育
educational	教育的
educative	教育的
educator	教育家
educe	引出
edulcorate	使純
ee	電機工程師
EEG	腦電圖
eel	鰻魚
eelgrass	大葉藻
eelworm	線蟲
EEPROM	11 電可擦可編程只讀存儲器
eerie	怪誕的
effable	可表達的
efface	抹去
effect	結果
effective	有效的
effective demand	實際需求
effective temperature	有效溫度
effectively	有效地
effectiveness	效力
effector	效應器
effectual	有效果的
effectuate	使發生
effeminate	柔弱的
efferent	傳出的
effervesce	冒泡
effervescence	冒泡
effervescent	冒泡的
effete	貧瘠的
efficacious	有效的
efficacy	功效
efficiency	效率
efficient	有效率的
efficient cause	基
effigy	肖像
effleurage	輕撫法
effloresce	開花
effluence	流出
effluent	流出的
effluvium	臭氣
efflux	流出物
effluxion	溢出物
effort	努力
effortless	容易的
effrontery	厚顏無恥
effulgent	光輝燦爛的
effuse	湧出
effusion	流出物
effusive	感情橫溢的
eft	水蜥
egalitarian	平等主義的
egest	排洩
egg	蛋
egghead	有知識的人
eggplant	茄子
eggshell	蛋殼
eglantine	多花薔薇
ego	自我
egocentric	自我中心的
egoism	自我主義
egomania	極端利己
egotism	自我中心癖
egotistical	自我本位的
egregious	異乎尋常的
egress	出口
egret	白鷺
Egypt	埃及
Egyptian	埃及人
Egyptology	埃及文物學
eh	啊
EHF	極高頻
eider	絨鴨
eiderdown	鴨絨
eidetic	極為逼真的
eidolon	幻像
eigenfrequency	本征頻率
eigenfunction	特征函數
eigenvalue	特征值
eigenvector	本征向量
eight	八
eighteen	十八
eighteenmo	十八開
eightfold	八倍的
eighth	第八
eightsome	八人裡爾舞
eighty	八十
eisteddfod	詩人
either	任一的
ejaculate	突然說出
ejaculation	突然說出
eject	逐放
ejecta	噴出物
ejection	驅逐
ejective	放出的
ejectment	放逐
ejector	驅逐者
ejusdem generis	同類的
eke	補充
EKG	心
elaborate	精細的
eland	大羚羊
elapse	逝去
elastic	鬆緊帶
elastic limit	彈性極限
elastic modulus	彈性模數
elasticity	彈力
elastin	彈性蛋白
elastomer	高彈體
Elastoplast	彈性繃帶
elate	使興高採烈
elation	得意洋洋
Elbe	易北河
elbow	手肘
elder	年長者
elderly	過了中年的
eldest	最年長的
eldritch	可怕的
elec.	電
elecampane	土木香
elect	當選人
election	選舉
elective	選舉的
elective affinity	選擇性親
electoral	選舉人的
electoral college	選舉團
electorate	選民
electress	女選舉人
electret	駐極體
electric	電的
electric blanket	電毯
electric chair	電椅
electric eel	電鰻
electric eye	電眼
electric field	電場
electric intensity	電場強度
electric moment	電矩
electric shaver	電動刮胡刀
electric shock	電擊
electrical	電的
electrician	電學家
electricity	電
electrify	通電
electro-	電
electro-oculogram	眼電
electro-oculography	眼電
electro-optics	電光學
electro-osmosis	電滲
electrocardiogram	心電圖
electrocardiography	心電描記本
electrocautery	電烙術
electrochemistry	電化學
electrocoagulation	電凝法
electrocorticogram	皮質電圖
