a	eɪ	-ā	ㄝㄧ	累加器
dogsbody	dogsbody	d-o-g-s-b-o-d-y	ㄉㄛㄍㄙㄅㄛㄉㄩ	打雜工
dogshore	dogshore	-d-o-g-s-h-o-r-e	ㄉㄛㄍㄙㄏㄛㄖㄝ	支船柱
dogskin	ˈdɒgskɪn	-d-o-g-s-k-i-n	ㄉㄛㄍㄙㄍㄧㄋ	狗皮
dogtrot	ˈdɒgtrɒt	d-o-g-t-r-o-t	ㄉㄛㄍㄉㄖㄛㄉ	小步跑
doing	ˈdu(ː)ɪŋ	d-ū---i-ng	ㄉㄨㄧㄥ	行為
doited	ˈdɔɪtɪd	d-o-ē-t-i-d	ㄉㄛㄧㄉㄧㄉ	老糊塗的
doldrums	ˈdɒldrəmz	d-o-l-d-r-ə-m-z	ㄉㄛㄌㄉㄖㄦㄇㄗ	憂鬱
dole	dəʊl	d-ə-oo-l	ㄉㄦㄡㄌ	救濟品
doleful	ˈdəʊlfʊl	d-ə-oo-l-f-oo-l	ㄉㄦㄡㄌㄈㄡㄌ	悲哀的
dolerite	dolerite	d-o-l-e-r-ē-t-e	ㄉㄛㄌㄝㄖㄧㄉㄝ	粗粒玄武岩
dolichocephalic	ˈdɒlɪkəʊkɛˈfælɪk	-d-o-l-i-k-ə-oo-k-é-f-a-l-i-k	ㄉㄛㄌㄧㄍㄦㄡㄍㄜㄈㄚㄌㄧㄍ	長頭的
doll	dɒl	d-o-l	ㄉㄛㄌ	洋娃娃
dollar	ˈdɒlə	d-o-l-ə	ㄉㄛㄌㄦ	美元
dollar area	ˈdɒlər ˈeərɪə	d-o-l-ə-r- -ã-r-ē-ə	ㄉㄛㄌㄦㄖ ㄝㄦㄖㄧㄦ	美元區
dollar diplomacy	ˈdɒlə dɪˈpləʊməsi	d-o-l-ə- -d-i-p-l-ə-oo-m-ə-s-ē	ㄉㄛㄌㄦ ㄉㄧㄅㄌㄦㄡㄇㄦㄙㄧ	金元外交
dollar gap	ˈdɒlə gæp	d-o-l-ə- -g-a-p	ㄉㄛㄌㄦ ㄍㄚㄅ	美元短缺
dollar sign	ˈdɒlə saɪn	d-o-l-ə- -s-ī-n	ㄉㄛㄌㄦ ㄙㄚㄧㄋ	貨幣符號
dollop	ˈdɒləp	d-o-l-ə-p	ㄉㄛㄌㄦㄅ	塊
dolly	ˈdɒli	d-o-l-ē	ㄉㄛㄌㄧ	洋娃娃
dolomite	ˈdɒləmaɪt	d-o-l-ə-m-ī-t	ㄉㄛㄌㄦㄇㄚㄧㄉ	白雲石
dolorimeter	dolorimeter	d-o-l-o-r-ē-m-e-t-e-r	ㄉㄛㄌㄛㄖㄧㄇㄝㄉㄝㄖ	測痛計
dolorous	ˈdɒlərəs	d-o-l-ə-r-ə-s	ㄉㄛㄌㄦㄖㄦㄙ	憂傷的
dolphin	ˈdɒlfɪn	d-o-l-f-i-n	ㄉㄛㄌㄈㄧㄋ	海豚
dolt	dəʊlt	d-ə-oo-l-t	ㄉㄦㄡㄌㄉ	呆子
doltish	ˈdəʊltɪʃ	d-ə-oo-l-t-i-sh	ㄉㄦㄡㄌㄉㄧㄕ	愚蠢的
domain	dəʊˈmeɪn	d-ə-oo-m-ā-n	ㄉㄦㄡㄇㄝㄧㄋ	領域
domain name system	dəʊˈmeɪn neɪm ˈsɪstɪm	d-ə-oo-m-ā-n- -n-ā-m- -s-i-s-t-i-m	ㄉㄦㄡㄇㄝㄧㄋ ㄋㄝㄧㄇ ㄙㄧㄙㄉㄧㄇ	域名系統
domanial	domanial	d-o-m-a-n-ē-a-l	ㄉㄛㄇㄢㄧㄚㄌ	擁有領土的
dome	dəʊm	d-ə-oo-m	ㄉㄦㄡㄇ	圓頂
domed	dəʊmd	d-ə-oo-m-d	ㄉㄦㄡㄇㄉ	圓屋頂的
domestic	dəʊˈmɛstɪk	d-ə-oo-m-é-s-t-i-k	ㄉㄦㄡㄇㄜㄙㄉㄧㄍ	家庭的
domesticate	dəʊˈmɛstɪkeɪt	d-ə-oo-m-é-s-t-i-k-ā-t	ㄉㄦㄡㄇㄜㄙㄉㄧㄍㄝㄧㄉ	養馴
domesticity	ˌdəʊmɛsˈtɪsɪti	d-ə-oo-m-é-s-t-i-s-i-t-ē	ㄉㄦㄡㄇㄜㄙㄉㄧㄙㄧㄉㄧ	專心于家務
domical	ˈdəʊmɪkəl	d-ə-oo-m-i-k-ə-l	ㄉㄦㄡㄇㄧㄍㄦㄌ	圓屋頂的
domicile	ˈdɒmɪsaɪl	d-o-m-i-s-ī-l	ㄉㄛㄇㄧㄙㄚㄧㄌ	住所
domiciliary	ˌdɒmɪˈsɪljəri	d-o-m-i-s-i-l-y-ə-r-ē	ㄉㄛㄇㄧㄙㄧㄌㄡㄦㄖㄧ	住處的
dominance	ˈdɒmɪnəns	d-o-m-i-n-ə-n-s	ㄉㄛㄇㄧㄋㄣㄙ	優勢
dominant	ˈdɒmɪnənt	d-o-m-i-n-ə-n-t	ㄉㄛㄇㄧㄋㄣㄉ	佔優勢的
dominate	ˈdɒmɪneɪt	d-o-m-i-n-ā-t	ㄉㄛㄇㄧㄋㄝㄧㄉ	支配
domination	ˌdɒmɪˈneɪʃən	d-o-m-i-n-ā-sh-ə-n	ㄉㄛㄇㄧㄋㄝㄧㄕㄣ	支配
domineer	ˌdɒmɪˈnɪə	d-o-m-i-n-ē-ə	ㄉㄛㄇㄧㄋㄧㄦ	跋扈
dominical	dəˈmɪnɪkəl	d-ə-m-i-n-i-k-ə-l	ㄉㄦㄇㄧㄋㄧㄍㄦㄌ	主的
dominie	ˈdɒmɪni	d-o-m-i-n-ē	ㄉㄛㄇㄧㄋㄧ	牧師
dominion	dəˈmɪnjən	d-ə-m-i-n-y-ə-n	ㄉㄦㄇㄧㄋㄡㄣ	領土
dominium	dominium	d-o-m-ē-n-ē-ū-m	ㄉㄛㄇㄧㄋㄧㄨㄇ	所有權
domino	ˈdɒmɪnəʊ	d-o-m-i-n-ə-oo	ㄉㄛㄇㄧㄋㄦㄡ	化裝外衣
domino effect	ˈdɒmɪnəʊ ɪˈfɛkt	d-o-m-i-n-ə-oo- -i-f-é-k-t	ㄉㄛㄇㄧㄋㄦㄡ ㄧㄈㄜㄍㄉ	多米諾效應
don	dɒn	d-o-n	ㄉㄛㄋ	西班牙貴族
donate	dəʊˈneɪt	d-ə-oo-n-ā-t	ㄉㄦㄡㄋㄝㄧㄉ	捐贈
donatio mortis causa	donatio mortis causa	d-o-n-a-t-ē-o -m-o-r-t-ē-s- ca-ū-s-a	ㄉㄛㄋㄚㄉㄧㄛ ㄇㄛㄖㄉㄧㄙ ㄕㄠㄙㄚ	死因贈與
donation	dəʊˈneɪʃən	-d-ə-oo-n-ā-sh-ə-n	ㄉㄦㄡㄋㄝㄧㄕㄣ	捐贈物
donative	ˈdəʊnətɪv	d-ə-oo-n-ə-t-i-v	ㄉㄦㄡㄋㄦㄉㄧㄈ	贈與的
done	dʌn	d-u-n	ㄉㄨㄋ	完成了的
donee	dəʊˈniː	d-ə-oo-n-ē	ㄉㄦㄡㄋㄧ	受贈者
donga	ˈdɒŋgə	d-o-ng-g-ə	ㄉㄛㄥㄍㄦ	陡岸幹溝
donjon	ˈdɒnʤən	d-o-n-y-ə-n	ㄉㄛㄋㄓㄣ	城堡主樓
donkey	ˈdɒŋki	d-o-ng-k-ē	ㄉㄛㄥㄍㄧ	驢子
donkeyman	donkeyman	d-o-n-k-ey-m-a-n-	ㄉㄛㄋㄍㄝㄩㄇㄢ	輔助操作工
Donnan equilibrium	Donnan ˌiːkwɪˈlɪbrɪəm	Do-n-n-a-n- -ē-k-w-i-l-i-b-r-ē-ə-m	Dㄛㄋㄋㄢ ㄧㄍㄨㄧㄌㄧㄅㄖㄧㄦㄇ	唐南平衡
donor	ˈdəʊnə	d-ə-oo-n-ə	ㄉㄦㄡㄋㄦ	捐贈人
doodle	ˈduːdl	d-ū-d-l	ㄉㄨㄉㄌ	塗鴉
doohickey	doohickey	d-oo-h-ē-c-k-ey	ㄉㄛㄛㄏㄧㄕㄍㄝㄩ	小玩意
doom	duːm	-d-ū-m	ㄉㄨㄇ	厄運
doomsday	ˈduːmzdeɪ	d-ū-m-z-d-ā	ㄉㄨㄇㄗㄉㄝㄧ	世界末日
door	dɔː	d-ô	ㄉㄛ	門
doorbell	ˈdɔːbɛl	d-ô-b-é-l	ㄉㄛㄅㄜㄌ	門鈴
doorjamb	doorjamb	d-oo-r-y-a-m-b	ㄉㄛㄛㄖㄡㄚㄇㄅ	門側柱
doorkeeper	ˈdɔːˌkiːpə	d-ô-k-ē-p-ə	ㄉㄛㄍㄧㄅㄦ	看門人
doorknob	ˈdɔːnɒb	d-ô-n-o-b	ㄉㄛㄋㄛㄅ	球形門拉手
doorman	ˈdɔːmən	d-ô-m-ə-n	ㄉㄛㄇㄣ	看門人
doormat	ˈdɔːmæt	d-ô-m-a-t	ㄉㄛㄇㄚㄉ	擦鞋墊
doornail	doornail	d-oo-r-n-a-ē-l	ㄉㄛㄛㄖㄋㄞㄌ	門釘
doorpost	ˈdɔːpəʊst	d-ô-p-ə-oo-s-t	ㄉㄛㄅㄦㄡㄙㄉ	門柱
doorsill	doorsill	d-oo-r-s-ē-l-l	ㄉㄛㄛㄖㄙㄧㄌㄌ	門檻
doorstep	ˈdɔːstɛp	d-ô-s-t-é-p	ㄉㄛㄙㄉㄜㄅ	門階
doorstop	doorstop	d-oo-r-s-t-o-p	ㄉㄛㄛㄖㄙㄉㄛㄅ	制門器
doorway	ˈdɔːweɪ	d-ô-w-ā	ㄉㄛㄨㄝㄧ	門口
dooryard	ˈdɔːˈjɑːd	d-ô-y-ä-d	ㄉㄛㄡㄚㄉ	庭院
dopa	dopa	d-o-p-a	ㄉㄛㄅㄚ	多巴
dopamine	dopamine	-d-o-p-a-m-ē-n-e	ㄉㄛㄅㄚㄇㄧㄋㄝ	多巴胺
dopant	dopant	-d-o-p-a-n-t	ㄉㄛㄅㄢㄉ	摻雜物
dope	dəʊp	d-ə-oo-p	ㄉㄦㄡㄅ	吸毒者
dopey	ˈdəʊpi	d-ə-oo-p-ē-	ㄉㄦㄡㄅㄧ	被麻醉的
Doppler broadening	Doppler ˈbrɔːdnɪŋ	Do-p-p-l-e-r- -b-r-ô-d-n-i-ng-	Dㄛㄅㄅㄌㄝㄖ ㄅㄖㄛㄉㄋㄧㄥ	多普勒展寬
Doppler effect	Doppler ɪˈfɛkt	Do-p-p-l-e-r- -i-f-é-k-t-	Dㄛㄅㄅㄌㄝㄖ ㄧㄈㄜㄍㄉ	多普勒效應
Doppler radar	Doppler ˈreɪdə	Do-p-p-l-e-r- -r-ā-d-ə-	Dㄛㄅㄅㄌㄝㄖ ㄖㄝㄧㄉㄦ	多普勒雷達
Doppler shift	Doppler ʃɪft	Do-p-p-l-e-r- -sh-i-f-t	Dㄛㄅㄅㄌㄝㄖ ㄕㄧㄈㄉ	多普勒頻移
dorado	dəˈrɑːdəʊ	d-ə-r-ä-d-ə-oo	ㄉㄦㄖㄚㄉㄦㄡ	劍魚
dorm	dɔːm	d-ô-m	ㄉㄛㄇ	宿舍
dormant	ˈdɔːmənt	d-ô-m-ə-n-t	ㄉㄛㄇㄣㄉ	睡眠狀態的
dormitory	ˈdɔːmɪtri	d-ô-m-i-t-r-ē	ㄉㄛㄇㄧㄉㄖㄧ	宿舍
dormouse	ˈdɔːmaʊs	d-ô-m-o-w-s	ㄉㄛㄇㄚㄡㄙ	榛睡鼠
dormy	dormy	d-o-r-m-y	ㄉㄛㄖㄇㄩ	12 領先分數與所剩洞數相等的
dorp	dɔːp	-d-ô-p	ㄉㄛㄅ	村落
dorsal	ˈdɔːsəl	d-ô-s-ə-l	ㄉㄛㄙㄦㄌ	背的
dorsi-	dorsi-	d-o-r-s-ē	ㄉㄛㄖㄙㄧ-	背
dorso-	dorso-	d-o-r-s-o	ㄉㄛㄖㄙㄛ-	背
dorsolateral	dorsolateral	d-o-r-s-o-l-a-t-e-r-a-l	ㄉㄛㄖㄙㄛㄌㄚㄉㄝㄖㄚㄌ	背外側的
dorsoventral	dorsoventral	d-o-r-s-o-v-e-n-t-r-a-l	ㄉㄛㄖㄙㄛㄈㄝㄋㄉㄖㄚㄌ	背腹側的
dorsum	dorsum	d-o-r-s-ū-m	ㄉㄛㄖㄙㄨㄇ	背
dory	ˈdɔːri	d-ô-r-ē	ㄉㄛㄖㄧ	平底小漁船
dosage	ˈdəʊsɪʤ	d-ə-oo-s-i-y	ㄉㄦㄡㄙㄧㄓ	劑量
dose	dəʊs	d-ə-oo-s	ㄉㄦㄡㄙ	劑量
dose equivalent	dəʊs ɪˈkwɪvələnt	d-ə-oo-s- -i-k-w-i-v-ə-l-ə-n-t	ㄉㄦㄡㄙ ㄧㄍㄨㄧㄈㄦㄌㄣㄉ	劑量當量
doss	dɒs	d-o-s	ㄉㄛㄙ	睡床
dossal	ˈdɒsəl	d-o-s-ə-l	ㄉㄛㄙㄦㄌ	幔布
dossier	ˈdɒsɪeɪ	d-o-s-i-ā	ㄉㄛㄙㄧㄝㄧ	檔案
dot	dɒt	d-o-t	ㄉㄛㄉ	點
dot matrix	dɒt ˈmeɪtrɪks	d-o-t- -m-ā-t-r-i-k-s	ㄉㄛㄉ ㄇㄝㄧㄉㄖㄧㄍㄙ	點陣
dot matrix printer	dɒt ˈmeɪtrɪks ˈprɪntə	d-o-t- -m-ā-t-r-i-k-s- -p-r-i-n-t-ə	ㄉㄛㄉ ㄇㄝㄧㄉㄖㄧㄍㄙ ㄅㄖㄧㄋㄉㄦ	點陣打印機
dot product	dɒt ˈprɒdʌkt	d-o-t- -p-r-o-d-u-k-t	ㄉㄛㄉ ㄅㄖㄛㄉㄨㄍㄉ	點積
dotage	ˈdəʊtɪʤ	d-ə-oo-t-i-y	ㄉㄦㄡㄉㄧㄓ	老耄
dote	dəʊt	d-ə-oo-t	ㄉㄦㄡㄉ	昏聵
doting	ˈdəʊtɪŋ	d-ə-oo-t-i-ng	ㄉㄦㄡㄉㄧㄥ	偏愛的
dotted line	ˈdɒtɪd laɪn	d-o-t-i-d- -l-ī-n	ㄉㄛㄉㄧㄉ ㄌㄚㄧㄋ	虛線
dotty	ˈdɒti	d-o-t-ē	ㄉㄛㄉㄧ	多點的
double	ˈdʌbl	d-u-b-l	ㄉㄨㄅㄌ	兩倍
double agent	ˈdʌbl ˈeɪʤənt	d-u-b-l- -ā-y-ə-n-t	ㄉㄨㄅㄌ ㄝㄧㄓㄣㄉ	雙重間諜
double bond	ˈdʌbl bɒnd	d-u-b-l- -b-o-n-d	ㄉㄨㄅㄌ ㄅㄛㄋㄉ	雙鍵
double chin	ˈdʌbl ʧɪn	d-u-b-l- -ch-i-n	ㄉㄨㄅㄌ ㄓㄧㄋ	雙頦
double decomposition	ˈdʌbl ˌdiːkɒmpəˈzɪʃən	d-u-b-l- -d-ē-k-o-m-p-ə-z-i-sh-ə-n	ㄉㄨㄅㄌ ㄉㄧㄍㄛㄇㄅㄦㄗㄧㄕㄣ	雙分解
double helix	ˈdʌbl ˈhiːlɪks	d-u-b-l- -h-ē-l-i-k-s	ㄉㄨㄅㄌ ㄏㄧㄌㄧㄍㄙ	雙螺旋
double indemnity	ˈdʌbl ɪnˈdɛmnɪti	d-u-b-l- -i-n-d-é-m-n-i-t-ē	ㄉㄨㄅㄌ ㄧㄋㄉㄜㄇㄋㄧㄉㄧ	加位補償
double pneumonia	ˈdʌbl nju(ː)ˈməʊnjə	d-u-b-l- -n-yü---m-ə-oo-n-y-ə	ㄉㄨㄅㄌ ㄋㄡㄨㄇㄦㄡㄋㄡㄦ	雙側肺炎
double precision	ˈdʌbl prɪˈsɪʒən	d-u-b-l- -p-r-i-s-i-zh-ə-n	ㄉㄨㄅㄌ ㄅㄖㄧㄙㄧㄓㄣ	雙倍精蜜度
double refraction	ˈdʌbl rɪˈfrækʃən	d-u-b-l- -r-i-f-r-a-k-sh-ə-n	ㄉㄨㄅㄌ ㄖㄧㄈㄖㄚㄍㄕㄣ	雙折射
double salt	ˈdʌbl sɔːlt	d-u-b-l- -s-ô-l-t	ㄉㄨㄅㄌ ㄙㄛㄌㄉ	復鹽
double standard	ˈdʌbl ˈstændəd	d-u-b-l- -s-t-a-n-d-ə-d	ㄉㄨㄅㄌ ㄙㄉㄚㄋㄉㄦㄉ	雙重標準
double time	ˈdʌbl taɪm	d-u-b-l- -t-ī-m	ㄉㄨㄅㄌ ㄉㄚㄧㄇ	雙薪工時
double vision	ˈdʌbl ˈvɪʒən	d-u-b-l- -v-i-zh-ə-n	ㄉㄨㄅㄌ ㄈㄧㄓㄣ	復視
double-acting	ˈdʌblˌæktɪŋ	d-u-b-l-a-k-t-i-ng	ㄉㄨㄅㄌㄚㄍㄉㄧㄥ	雙動的
double-action	ˈdʌbl-ˈækʃ(ə)n	d-u-b-l-a-k-sh-ə--n	ㄉㄨㄅㄌ-ㄚㄍㄕㄦㄋ	復動式
double-barrelled	ˈdʌblˌbærəld	d-u-b-l-b-a-r-ə-l-d	ㄉㄨㄅㄌㄅㄚㄖㄦㄌㄉ	雙管的
double-breasted	ˈdʌblˈbrɛstɪd	d-u-b-l-b-r-é-s-t-i-d	ㄉㄨㄅㄌㄅㄖㄜㄙㄉㄧㄉ	雙排鈕扣的
double-check	ˈdʌbl-ʧɛk	d-u-b-l-ch-é-k	ㄉㄨㄅㄌ-ㄓㄜㄍ	對
double-click	ˈdʌbl-klɪk	d-u-b-l-k-l-i-k	ㄉㄨㄅㄌ-ㄍㄌㄧㄍ	雙擊
double-cross	ˈdʌblˈkrɒs	d-u-b-l-k-r-o-s	ㄉㄨㄅㄌㄍㄖㄛㄙ	欺騙
double-dealing	ˈdʌblˈdiːlɪŋ	d-u-b-l-d-ē-l-i-ng	ㄉㄨㄅㄌㄉㄧㄌㄧㄥ	兩面派行為
double-decker	ˈdʌblˈdɛkə	d-u-b-l-d-é-k-ə	ㄉㄨㄅㄌㄉㄜㄍㄦ	雙層船
double-dyed	ˈdʌblˈdaɪd	d-u-b-l-d-ī-d	ㄉㄨㄅㄌㄉㄚㄧㄉ	兩次染色的
double-edged	ˈdʌblˈɛʤd	d-u-b-l-é-y-d	ㄉㄨㄅㄌㄜㄓㄉ	雙刃的
double-faced	ˈdʌblfeɪst	d-u-b-l-f-ā-s-t	ㄉㄨㄅㄌㄈㄝㄧㄙㄉ	兩面可用的
double-jointed	ˈdʌbl-ˈʤɔɪntɪd	d-u-b-l-y-o-ē-n-t-i-d	ㄉㄨㄅㄌ-ㄓㄛㄧㄋㄉㄧㄉ	雙關節的
double-space	ˈdʌbl-speɪs	d-u-b-l-s-p-ā-s	ㄉㄨㄅㄌ-ㄙㄅㄝㄧㄙ	隔行打
doublet	ˈdʌblɪt	d-u-b-l-i-t	ㄉㄨㄅㄌㄧㄉ	成對物
doublethink	doublethink	d-o-ū-b-l-e-t-h-ē-n-k	ㄉㄡㄅㄌㄝㄉㄏㄧㄋㄍ	雙重思想
doubloon	dʌbˈluːn	d-u-b-l-ū-n	ㄉㄨㄅㄌㄨㄋ	達布隆
doubly	ˈdʌbli	d-u-b-l-ē	ㄉㄨㄅㄌㄧ	加倍地
doubt	daʊt	d-o-w-t	ㄉㄚㄡㄉ	懷疑
doubtful	ˈdaʊtfʊl	d-o-w-t-f-oo-l	ㄉㄚㄡㄉㄈㄡㄌ	可疑的
doubtless	ˈdaʊtlɪs	d-o-w-t-l-i-s	ㄉㄚㄡㄉㄌㄧㄙ	無疑的
douce	duːs	d-ū-s	ㄉㄨㄙ	莊重的
douche	duːʃ	d-ū-sh	ㄉㄨㄕ	灌洗液
dough	dəʊ	d-ə-oo	ㄉㄦㄡ	生面團
doughboy	ˈdəʊbɔɪ	d-ə-oo-b-o-ē	ㄉㄦㄡㄅㄛㄧ	團子
doughnut	ˈdəʊnʌt	d-ə-oo-n-u-t	ㄉㄦㄡㄋㄨㄉ	油炸圈餅
doughty	ˈdaʊti	d-o-w-t-ē	ㄉㄚㄡㄉㄧ	強悍的
dour	ˈdʊə	d-ü-ə	ㄉㄡㄦ	陰沉的
douse	daʊs	d-o-w-s	ㄉㄚㄡㄙ	插入水中
dove	dʌv	d-u-v	ㄉㄨㄈ	鴿子
dovecote	ˈdʌvkɒt	d-u-v-k-o-t	ㄉㄨㄈㄍㄛㄉ	鴿棚
Dover	ˈdʌvə	d-u-v-ə	ㄉㄨㄈㄦ	多佛
dovetail	ˈdʌvteɪl	d-u-v-t-ā-l	ㄉㄨㄈㄉㄝㄧㄌ	楔形榫頭
dowdy	ˈdaʊdi	d-o-w-d-ē	ㄉㄚㄡㄉㄧ	過時的
dowel	ˈdaʊəl	d-o-w-ə-l	ㄉㄚㄡㄦㄌ	銷子
dower	ˈdaʊə	d-o-w-ə	ㄉㄚㄡㄦ	嫁妝
down	daʊn	d-o-w-n	ㄉㄚㄡㄋ	向下的
down payment	daʊn ˈpeɪmənt	d-o-w-n- -p-ā-m-ə-n-t	ㄉㄚㄡㄋ ㄅㄝㄧㄇㄣㄉ	已付定金
down under	daʊn ˈʌndə	d-o-w-n- -u-n-d-ə	ㄉㄚㄡㄋ ㄨㄋㄉㄦ	在
downbeat	downbeat	d-o-w-n-b-ea-t	ㄉㄛㄨㄋㄅㄝㄚㄉ	強拍
downcast	ˈdaʊnkɑːst	d-o-w-n-k-ä-s-t	ㄉㄚㄡㄋㄍㄚㄙㄉ	氣餒的
downcomer	downcomer	d-o-w-n-co-m-e-r	ㄉㄛㄨㄋㄕㄛㄇㄝㄖ	下降管
downcountry	downcountry	d-o-w-n-co-ū-n-t-r-y	ㄉㄛㄨㄋㄕㄡㄋㄉㄖㄩ	在沿海地區
downer	ˈdaʊnə	-d-o-w-n-ə	ㄉㄚㄡㄋㄦ	鎮定劑
downfall	ˈdaʊnfɔːl	d-o-w-n-f-ô-l	ㄉㄚㄡㄋㄈㄛㄌ	衰敗
downgrade	ˈdaʊngreɪd	d-o-w-n-g-r-ā-d	ㄉㄚㄡㄋㄍㄖㄝㄧㄉ	降低
downhearted	ˈdaʊnˈhɑːtɪd	d-o-w-n-h-ä-t-i-d	ㄉㄚㄡㄋㄏㄚㄉㄧㄉ	垂頭喪氣的
downhill	ˌdaʊnˈhɪl	d-o-w-n-h-i-l	ㄉㄚㄡㄋㄏㄧㄌ	下坡的
downland	downland	d-o-w-n-l-a-n-d	ㄉㄛㄨㄋㄌㄢㄉ	丘陵地
downlink	downlink	d-o-w-n-l-ē-n-k	ㄉㄛㄨㄋㄌㄧㄋㄍ	下行鏈路
download	ˌdaʊnˈləʊd	d-o-w-n-l-ə-oo-d	ㄉㄚㄡㄋㄌㄦㄡㄉ	卸載
downpipe	downpipe	d-o-w-n-p-ē-p-e	ㄉㄛㄨㄋㄅㄧㄅㄝ	水落管
downplay	downplay	-d-o-w-n-p-l-ay	ㄉㄛㄨㄋㄅㄌㄚㄩ	不予重視
downright	ˈdaʊnraɪt	-d-o-w-n-r-ī-t	ㄉㄚㄡㄋㄖㄚㄧㄉ	明白的
downspout	downspout	d-o-w-n-s-p-o-ū-t	ㄉㄛㄨㄋㄙㄅㄡㄉ	降液管
downstairs	ˌdaʊnˈsteəz	d-o-w-n-s-t-ã-z	ㄉㄚㄡㄋㄙㄉㄝㄦㄗ	樓下
downstream	ˌdaʊnˈstriːm	d-o-w-n-s-t-r-ē-m	ㄉㄚㄡㄋㄙㄉㄖㄧㄇ	下遊地
downswing	downswing	d-o-w-n-s-w-ē-n-g	ㄉㄛㄨㄋㄙㄨㄧㄋㄍ	下降趨勢
downthrow	ˈdaʊnθrəʊ	d-o-w-n-th-r-ə-oo	ㄉㄚㄡㄋㄊㄖㄦㄡ	推翻
downtime	ˈdaʊntaɪm	d-o-w-n-t-ī-m	ㄉㄚㄡㄋㄉㄚㄧㄇ	停工期
downtown	ˈdaʊntaʊn	d-o-w-n-t-o-w-n	ㄉㄚㄡㄋㄉㄚㄡㄋ	市中心區
downtrend	ˈdaʊntrɛnd	d-o-w-n-t-r-é-n-d	ㄉㄚㄡㄋㄉㄖㄜㄋㄉ	下降趨勢
downtrodden	ˈdaʊnˌtrɒdn	d-o-w-n-t-r-o-d-n	ㄉㄚㄡㄋㄉㄖㄛㄉㄋ	被蹂躪的
downturn	ˈdaʊntɜːn	d-o-w-n-t-û-n	ㄉㄚㄡㄋㄉㄦㄋ	衰退
downward	ˈdaʊnwəd	d-o-w-n-w-ə-d	ㄉㄚㄡㄋㄨㄦㄉ	向下的
downwind	downwind	d-o-w-n-w-ē-n-d	ㄉㄛㄨㄋㄨㄧㄋㄉ	順風的
downy	ˈdaʊni	d-o-w-n-ē	ㄉㄚㄡㄋㄧ	絨毛的
dowry	ˈdaʊəri	d-o-w-ə-r-ē	ㄉㄚㄡㄦㄖㄧ	嫁妝
dowse	daʊz	d-o-w-z	ㄉㄚㄡㄗ	探尋水源
doxology	doxology	d-oxo-l-o-g-y	ㄉㄛㄏㄛㄌㄛㄍㄩ	上帝贊美詩
doxorubicin	doxorubicin	-d-oxo-r-ū-b-ē-c-ē-n	ㄉㄛㄏㄛㄖㄨㄅㄧㄕㄧㄋ	阿霉素
doxy	ˈdɒksi	d-o-k-s-ē	ㄉㄛㄍㄙㄧ	情婦
doxycycline	doxycycline	d-oxycyc-l-ē-n-e	ㄉㄛㄏㄩㄕㄩㄕㄌㄧㄋㄝ	多西環素
doyen	ˈdɔɪən	-d-ô-ē-ə-n	ㄉㄛㄧㄣ	老資格
doyenne	doyenne	d-oye-n-n-e	ㄉㄛㄩㄝㄋㄋㄝ	女性老前輩
doze	dəʊz	-d-ə-oo-z	ㄉㄦㄡㄗ	打瞌睡
dozen	ˈdʌzn	d-u-z-n	ㄉㄨㄗㄋ	打
dozer	ˈdəʊzə	d-ə-oo-z-ə	ㄉㄦㄡㄗㄦ	打瞌睡的人
dozy	ˈdəʊzi	d-ə-oo-z-ē	ㄉㄦㄡㄗㄧ	想睡的
DP	diː-piː	d-ē-p-ē	ㄉㄧ-ㄅㄧ	數據處理
DPT	diː-piː-tiː	d-ē-p-ē-t-ē-	ㄉㄧ-ㄅㄧ-ㄉㄧ	二苯硫尿
Dr	Dr	D-r	Dㄖ	博士
dr.	dr.	d-r-.	ㄉㄖ.	變性反應
drab	dræb	-d-r-a-b	ㄉㄖㄚㄅ	土褐色的
drabble	ˈdræbl	d-r-a-b-l	ㄉㄖㄚㄅㄌ	拖髒
dracaena	drəˈsiːnə	d-r-ə-s-ē-n-ə	ㄉㄖㄦㄙㄧㄋㄦ	朱蕉屬
drachm	dræm	d-r-a-m	ㄉㄖㄚㄇ	英錢
drachma	ˈdrækmə	d-r-a-k-m-ə	ㄉㄖㄚㄍㄇㄦ	德拉馬克
Draco	ˈdreɪkəʊ	d-r-ā-k-ə-oo	ㄉㄖㄝㄧㄍㄦㄡ	天龍星座
draconian	dreɪˈkəʊnjən	d-r-ā-k-ə-oo-n-y-ə-n	ㄉㄖㄝㄧㄍㄦㄡㄋㄡㄣ	嚴厲的
draff	dræf	d-r-a-f	ㄉㄖㄚㄈ	殘渣
draft	drɑːft	d-r-ä-f-t	ㄉㄖㄚㄈㄉ	氣流
draft board	drɑːft bɔːd	d-r-ä-f-t- -b-ô-d	ㄉㄖㄚㄈㄉ ㄅㄛㄉ	征兵局
draft dodger	drɑːft ˈdɒʤə	d-r-ä-f-t- -d-o-y-ə	ㄉㄖㄚㄈㄉ ㄉㄛㄓㄦ	逃兵役者
draftsman	ˈdrɑːftsmən	d-r-ä-f-t-s-m-ə-n	ㄉㄖㄚㄈㄗㄇㄣ	起草者
drag	dræg	d-r-a-g	ㄉㄖㄚㄍ	拖
draggle	ˈdrægl	d-r-a-g-l	ㄉㄖㄚㄍㄌ	拖髒
