ກ	A	k
ສັບສົນ^ວຸ້ນວາຍ^ກັນ	Confused, confused, confused	sbson^wunwaany^kn
ສັບສົນ^ວຸ້ນວາຍ^ໃຈ	Confused^confused^confused	sbson^wunwaany^aych
ສັບຊ້ອນ	Complex	sbs`n
ສັບຕອດ	Saturday	sbh`d
ສັບຕາ	Week	sbhaa
ສັບເຕກາ	Saptika	sbehkaa
ສັບປະດາ	Weekly	sbpadaa
ສັບປ່ຽນ	Change	sbpnyn
ສັບປ່ຽນ^ກັນ	Change	sbpnyn^kn
ສັບພະ^ທຸກສິ່ງ	Everything	sbpha^thuksing
ສັບພະສິ່ງ	Everything	sbphasing
ສັບພະທຸກສິ່ງ	Everything	sbphathuksing
ສາ	Teacher	saa
ສໍ່າ	How much	sMaa
ສໍ່າໆ	Very good	sMaa+
ສາກ່ອນ	First of all	saak`n
ສໍ່າກັນ	Same thing	sMaakn
ສໍ່າກັບ	Same as	sMaakb
ສໍ່າກັບວ່າ	As if	sMaakbwaa
ສາກາ	Saka	saakaa
ສາກົນ	International	saakon
ສາກົນ^ນະໂລກ	International	saakon^naolk
ສາຄີອາ	Sakya	saakhii`aa
ສາງ	Warehouse	saang
ສ້າງ	Create	saang
ສາງ^ເຂົ້າ	Rice warehouse	saang^ekhoaa
ສ້າງເລິກ	Create deep	saangelik
ສ້າງຮັ່ງ^ຄູນມີ	Create wealth and multiply it.	saangng^khuunmii
ສາສະໜາ	Religion	saasahnaa
ສາຍ	Line	saany
ສາຍ^ສ້ອຍ^ຄຳ	Gold chain	saany^s`ny^kham
ສາຍ^ຕາ	Eye line	saany^haa
ສາຍ^ຮັດ^ແອວ	Waist belt	saany^d^ei`w
ສາຍຄໍ	Necklace	saanykhM
ສາຍສ້ອຍ	Necklace	saanys`ny
ສາຍສ້ອຍ^ຄໍ	Necklace	saanys`ny^khM
ສາຍໂສ້	Chain	saanyos
ສາຍດຶງ	Pull cord	saanydyng
ສາຍຕາ	Eyesight	saanyhaa
ສາຍນໍ້າ	River	saanynMaa
ສາຍນໍ້າ^ໂຄ້ງແຄງ	Watercourse^curve	saanynMaa^okhngeikhng
ສາຍເນັ່ງ	Seat belt	saanyenng
ສາຍຝົນ	Raindrops	saanyfon
ສາຍພາຍ	Waist belt	saanyphaany
ສາຍລົມ	Wind	saanylom
ສາຍໜັງ	Leather strap	saanyhnng
ສາຍແອວ	Belt	saanyei`w
ສາຍແອວ^ປ່ານ	Linen belt	saanyei`w^paan
ສາຍຮັດ	Belt	saanyd
ສາຍຮັດແອວ	Waist belt	saanydei`w
ສາຍແຮ່	Umbilical cord	saanyei
ສາດ	Science	saad
ສາດແສງ	Sun light	saadeisng
ສໍ່າໃດ	How much?	sMaaayd
ສາເຖີດ	Be happy	saaethiid
ສາທາ^ລະນະ	Public	saathaa^lana
ສາທາ^ລະນະຊົນ	Public	saathaa^lanason
ສາທາລະນະ	Public	saathaalana
ສາທຸການ	Sadhana	saathukaan
ສາເທາະ	Please.	saaethaaa
ສານ	Court	saan
ສານ^ຕັດສິນ	Court decision	saan^hdsin
ສານ||ຂອງ	Court||of	saan||kh`ng
ສານສູງ	High Court	saansuung
ສານບັນລັດ	Court of Appeal	saanbnld
ສານມາ	The messenger arrived.	saanmaa
ສານໂມນ	Ammonium	saanomn
ສານລູ	Lulu	saanluu
ສານໄລ	Sanlai	saanail
ສໍ່ານັ້ນ	That's it.	sMaann
ສາບສູນ	Damned	saabsuun
ສາບສູນໄປ	Lost	saabsuunaip
ສາບແຊ່ງ	Curse	saabeisng
ສາບແຊ່ງ^ແລ້ວ	Cursed.	saabeisng^eilw
ສາບແຊ່ງ^ເອີຍ	Damn it.	saabeisng^e`iiny
ສາບັກທານີ	Sabak Thani	saabkthaanii
ສາບານ	Oath	saabaan
ສາບານ^ໄວ້	I swear.	saabaan^aiw
ສາບານຕົວ	Take an oath	saabaanhow
ສາເຟ	Safe	saaef
ສາມ	Three	saam
ສາມ||ເຖິງ	Three||up	saam||ething
ສາມສິບ	Thirty	saamsib
ສາມສິບເກົ້າ	Thirty-nine	saamsibekoaa
ສາມສິບເຈັດ	Thirty-seven	saamsibechd
ສາມສິບເຈັດພັນ	Thirty-seven thousand	saamsibechdphn
ສາມສິບສອງ	Thirty-two	saamsibs`ng
ສາມສິບສອງພັນ	Thirty-two thousand	saamsibs`ngphn
ສາມສິບສາມ	Thirty-three	saamsibsaam
ສາມສິບສີ່	Thirty-four	saamsibsii
ສາມສິບສີ່^ພັນ	Thirty-four thousand	saamsibsii^phn
ສາມສິບສີ່ພັນ	Thirty-four thousand	saamsibsiiphn
ສາມສິບແປດ	Thirty-eight	saamsibeipd
ສາມສິບແປດ^ພັນ	Thirty-eight thousand	saamsibeipd^phn
ສາມສິບພັນ	Thirty thousand	saamsibphn
ສາມສິບຫ້າ	Thirty-five	saamsibhaa
ສາມສິບຫົກ	Thirty-six	saamsibhok
ສາມສິບຫົກ^ພັນ	Thirty-six thousand	saamsibhok^phn
ສາມສິບເອັດ	Thirty-one	saamsibe`d
ສາມແສນ	Three hundred thousand	saameisn
ສາມແສນ^ເຈັດພັນ^ຫ້າຮ້ອຍ	Three hundred and seven thousand five hundred	saameisn^echdphn^haa`ny
ສາມພັນ	Three thousand	saamphn
ສາມພັນ^ເຈັດຮ້ອຍ	Three thousand seven hundred	saamphn^echd`ny
ສາມພັນ^ເຈັດຮ້ອຍ^ຫ້າສິບ	Three thousand seven hundred fifty	saamphn^echd`ny^haasib
ສາມພັນ^ສາມຮ້ອຍ	Three thousand three hundred	saamphn^saam`ny
ສາມພັນ^ສີ່ຮ້ອຍ	Three thousand four hundred	saamphn^sii`ny
ສາມພັນ^ຊາວສາມ	Three thousand and twenty-three	saamphn^saawsaam
ສາມພັນ^ຫົກຮ້ອຍ	Three thousand six hundred	saamphn^hok`ny
ສາມຢ່າງ	Three things	saamyaang
ສາມລາ	Three donkeys	saamlaa
ສາມວັນ^ສາມຄືນ	Three days^three nights	saamwn^saamkhyyn
ສາມວັນ^ຕໍ່ມາ	Three days later	saamwn^hMmaa
ສາມຮ້ອຍ	Three hundred	saam`ny
ສາມຮ້ອຍ^ເກົ້າສິບ	Three hundred and ninety	saam`ny^ekoaasib
ສາມຮ້ອຍ^ພັນ	Three hundred thousand	saam`ny^phn
ສາມັກຄີ	Unity	saamkkhii
ສາມັກຄີທຳ	Unity	saamkkhiitham
ສາມັນ	Common	saamn
ສາມັນ^ສຳນຶກ	Common sense	saamn^samnyk
ສາມາດ	Can	saamaad
ສາມານ	Saman	saamaan
ສາມີ	Husband	saamii
ສາຣາບ	Sarab	saaraab
ສາຣິດ	Sarith	saarid
ສາລະ	Sala	saala
ສາລະພັດ	All over the world	saalaphd
ສາລະພາບ	Confession	saalaphaab
ສາລາ	Hall	saalaa
ສາເລກາ	Saleka	saaelkaa
ສາແລ້ວ	Okay.	saaeilw
ສາວ	Girl	saaw
ສາວ^ບໍຣິສຸດ	Blessed girl	saaw^bMrisud
ສາວ^ປອດ	Girl^lung	saaw^p`d
ສາວ^ໝ້າຍ	Widow	saaw^hmaany
ສາວໃຊ້	Maid	saaways
ສາວົກ	Disciple	saawok
ສາວົກ||ສິບສອງ	Disciples || Twelve	saawok||sibs`ng
ສາຫັດ	Hard work	saahd
ສາເຫດ	Cause	saaehd
ສາໂຫດ	Cruel	saaohd
ສຳຄັນ	Important	samkhn
ສຳແດງ	Show	sameidng
ສຳນັກ	Office	samnk
ສຳນຶກ	Conscience	samnyk
ສຳນຶກ^ຜິດ	Conscience	samnyk^phid
ສຳນຽງ	Accent	samnnyng
ສຳເນົາ	Copy	samenoaa
ສຳພັດ	Touch	samphd
ສຳພັນ	Relationship	samphn
ສຳມະໂນຄົວ	Census	sammaonkhow
ສຳລອງ	Try	saml`ng
ສຳລັບ	For	samlb
ສຳລັບ^ນາມຊື່	For ^name	samlb^naamsyy
ສຳລານ	Salam	samlaan
ສຳເລັດ	Completed	sameld
ສຳເລັດ^ຜົນ	Successfully completed.	sameld^phon
ສຳເລັດ^ແລ້ວ	Done.	sameld^eilw
ສຳເລັດ^ຮຽບຮ້ອຍ	Completed.	sameld^nyb`ny
ສຳເລັດຜົນ	Successful	sameldphon
ສຳຫລວດ	Survey	samhlwd
ສຳຫລວດ^ເບິ່ງ	Explore^See	samhlwd^ebing
ສິງ	Lion	sing
ສິ່ງ	thing	sing
ສິ່ງ^ໂງ່ໆ	Stupid thing.	sing^ong+
ສິ່ງ^ສາລະພັດ	Everything.	sing^saalaphd
ສິ່ງ^ເສດເຫລືອ	Waste	sing^esdehlyy`
ສິ່ງ^ຊົ່ວຊ້າ	Evil thing	sing^sowsaa
ສິ່ງ^ຊົ່ວຮ້າຍ	Evil things	sing^sowaany
ສິ່ງ^ດຽວກັນ^ນັ້ນ	The same thing.	sing^dnywkn^nn
ສິ່ງ^ໃດໆ	Anything	sing^ayd+
ສິ່ງ^ຕ່າງໆ	Various things	sing^haang+
ສິ່ງ^ທີ່^ດີ	Good things	sing^thii^dii
ສິ່ງ^ນັ້ນ	That thing	sing^nn
ສິ່ງ^ນີ້ແຫລະ	This is it.	sing^niieihla
ສິ່ງ^ປະເສີດ	Wonderful thing	sing^paesiid
ສິ່ງ^ແປກ^ປະຫລາດ	Strange thing	sing^eipk^pahlaad
ສິ່ງ^ມືນເມົາ	What is drunk?	sing^myynemoaa
ສິ່ງ^ໃໝ່ໆ	New things	sing^ayhm+
ສິ່ງ^ເຫຼົ່ານັ້ນ	Those things	sing^ehloaann
ສິ່ງ^ເຫຼົ່ານີ້^ແຫລະ	These things are	sing^ehloaanii^eihla
ສິ່ງ^ຮົກຮ້າງ	Abandoned thing	sing^okaang
ສິ່ງ^ຮົກຮ້າງ^ເພພັງ	Ruined things	sing^okaang^ephphng
ສິ່ງຂອງ	Things	singkh`ng
ສິ່ງຂອງ^ຈຳເປັນ	Necessary things	singkh`ng^chamepn
ສິ່ງຂອງ^ໃສ່	Things to wear	singkh`ng^ays
ສິ່ງຂອງ^ໃດໆ	Any object	singkh`ng^ayd+
ສິ່ງຂອງ^ຕ່າງໆ	Various things	singkh`ng^haang+
ສິ່ງຂອງ^ທັງໝົດ	All things	singkh`ng^thnghmod
ສິ່ງຂອງ^ທີ່	Things that	singkh`ng^thii
ສິ່ງຂອງ^ທຸກຢ່າງ	Everything.	singkh`ng^thukyaang
ສິ່ງຂອງ^ນັ້ນ	That thing	singkh`ng^nn
ສິ່ງຂອງ^ໃນ	Things in	singkh`ng^ayn
ສິ່ງຂອງ^ບໍຣິສຸດ	Sacred things	singkh`ng^bMrisud
ສິ່ງຂອງ^ບໍລິຈາກ	Donate things.	singkh`ng^bMlichaak
ສິ່ງຂອງ^ມາ	Things come.	singkh`ng^maa
ສິ່ງຂອງ^ຫລາຍ	Many things	singkh`ng^hlaany
ສິ່ງຂອງ^ເຫຼົ່ານັ້ນ	Those things.	singkh`ng^ehloaann
ສິ່ງຂອງ^ເຫຼົ່ານີ້	These things	singkh`ng^ehloaanii
ສິ່ງຂອງ^ອອກ	Things^out	singkh`ng^``k
ສິ່ງສາລະພັດ	Everything	singsaalaphd
ສິ່ງດີ	Good thing	singdii
ສິ່ງດີໆ	Good thing	singdii+
ສິ່ງດຽວ	One thing	singdnyw
ສິ່ງໃດ	What?	singayd
ສິ່ງໃດ^ສິ່ງໜຶ່ງ	Something	singayd^singhnyng
ສິ່ງໃດ^ເລີຍ	What?	singayd^eliiny
ສິ່ງໃດ^ເອີຍ	What?	singayd^e`iiny
ສິ່ງໃດໆ	Anything	singayd+
ສິ່ງໃດສິ່ງໜຶ່ງ	Something	singaydsinghnyng
ສິງໂຕ	Lion	singoh
ສິງເຖິກ	Male lion	singethik
ສິ່ງທີ່	What	singthii
ສິ່ງທີ່ມີ^ຊີວິດ	Living things	singthiimii^siiwid
ສິ່ງທີ່ມີ^ຊີວິດ^ນັ້ນ	That which is alive.	singthiimii^siiwid^nn
ສິງນ້ອຍ	Little lion	singn`ny
ສິ່ງນັ້ນ	That thing	singnn
ສິ່ງນັ້ນ^ແຫລະ	That's it.	singnn^eihla
ສິ່ງນີ້	This thing	singnii
ສິງຜູ້	Lion	singphuu
ສິງແມ່	Mother lion	singeim
ສິ່ງໜຶ່ງ	One thing	singhnyng
ສິ່ງໜຶ່ງ^ສິ່ງໃດ	One thing^what	singhnyng^singayd
ສິງໜຸ່ມ	Young lion	singhnum
ສິດ	Right	sid
ສິດ^ອຳນາດ	Power	sid^`amnaad
ສິດສອນ	Teach	sids`n
ສິດຍາພິບານ	Pastor	sidnyaaphibaan
ສິດດິມ	Right	siddim
ສິດທະຣີ	Righteousness	sidtharii
ສິດທິ	Rights	sidthi
ສິດອຳນາດ	Authority	sid`amnaad
ສິນ	Property	sin
ສິ້ນ	Piece	sin
ສິ້ນ^ສະຫລາຍ	End of the world	sin^sahlaany
ສິ້ນ^ຊີວາ	End of life	sin^siiwaa
ສິ້ນ^ຊີວິດ	End of life	sin^siiwid
ສິ້ນ^ລະດູ	End of the season	sin^laduu
ສິນຄ້າ	Goods	sinkhaa
ສິນຈ້າງ	Rent	sinchaang
ສິນຈ້າງ^ລາງວັນ	Rewards	sinchaang^laangwn
ສິ້ນໃຈ	Heartbroken	sinaych
ສິ້ນໃຈ^ຕາຍ	Heartbroken^dead	sinaych^haany
ສິ້ນສຸດ	End	sinsud
ສິ້ນສຸດ^ໂລກ	End of the world	sinsud^olk
ສິ້ນສຸດໄປ	End	sinsudaip
ສິ້ນສຸດລົງ	Ended	sinsudlong
ສິ້ນສູນ	Lost	sinsuun
ສິ້ນຊາກ	Dead body	sinsaak
ສິ້ນຊີບ	Death	sinsiib
ສິ້ນເຊີງ	End	sinesiing
ສິນທຳ	Morality	sintham
ສິນທຳ^ເອີຍ	Morality.	sintham^e`iiny
ສິ້ນເນື້ອ^ປະດາຕົວ	Whole body	sinenyy`^padaahow
ສິນບົນ	Bribe	sinbon
ສິ້ນໄປ	Ended	sinaip
ສິ້ນພຣະຊົນ	Death	sinphrason
ສິນລະປະ	Art	sinlapa
ສິ້ນລົມ^ຫາຍໃຈ	Out of breath	sinlom^haanyaych
ສິ້ນຫວັງ	Desperate	sinhwng
ສິບ	Ten	sib
ສິບເກົ້າ	Nineteen	sibekoaa
ສິບຂໍ້	Ten points	sibkhM
ສິບເຈັດ	Seventeen	sibechd
ສິບເຈັດພັນ^ສອງຮ້ອຍ	Seventeen thousand^two hundred	sibechdphn^s`ng`ny
ສິບສອງ	Twelve	sibs`ng
ສິບສອງ^ເຜົ່າ	Twelve tribes	sibs`ng^ephoaa
ສິບສອງພັນ	Twelve thousand	sibs`ngphn
ສິບສາມ	Thirteen	sibsaam
ສິບສີ່	Fourteen	sibsii
ສິບສີ່ພັນ	Fourteen thousand	sibsiiphn
ສິບເບກາຍ	Ten thousand	sibebkaany
ສິບປາຍ	Ten points	sibpaany
ສິບແປດ	Eighteen	sibeipd
ສິບແປດພັນ	Eighteen thousand	sibeipdphn
ສິບພັນ	Ten thousand	sibphn
ສິບມາ	Ten years	sibmaa
ສິບຫ້າ	Fifteen	sibhaa
ສິບຫ້າພັນ	Fifteen thousand	sibhaaphn
ສິບຫົກ	Sixteen	sibhok
ສິບເອັດ	Eleven	sibe`d
ສິມຣິ	Zimri	simri
ສິ່ວ	Six	siw
ສີ	Color	sii
ສີ່	Four	sii
ສີ^ແດງເຂັ້ມ	Dark red	sii^eidngekhm
ສີກ່ານ	Color	siikaan
ສີຂາວ	White	siikhaaw
ສີຂຽວ	Green	siikhnyw
ສີເຂົ້າ	Rice color	siiekhoaa
ສີຄາມ	Black color	siikhaam
ສີຄຳ	Gold color	siikham
ສີສະໝາຍ	Color code	siisahmaany
ສີສັນ	Color	siisn
ສີສັນ^ສົດໃສ	Bright colors	siisn^sodays
ສີ່ສິບ	Forty	siisib
ສີ່ສິບ^ສີ່ພັນ^ເຈັດຮ້ອຍ^ຫົກສິບ	Forty^four thousand^seven hundred^sixty	siisib^siiphn^echd`ny^hoksib
ສີ່ສິບ^ເອັດ	Forty-one	siisib^e`d
ສີ່ສິບເກົ້າ	Forty-nine	siisibekoaa
ສີ່ສິບສອງ	Forty-two	siisibs`ng
ສີ່ສິບສອງພັນ	Forty-two thousand	siisibs`ngphn
ສີ່ສິບສີ່	Forty-four	siisibsii
ສີ່ສິບພັນ	Forty thousand	siisibphn
ສີ່ສິບຫ້າ	Forty-five	siisibhaa
ສີ່ສິບຫົກ	Forty-six	siisibhok
ສີ່ສິບເອັດ	Forty-one	siisibe`d
ສີເສຣາ	Sisera	siiesraa
ສີ່ແສນ	Four hundred thousand	siieisn
ສີ່ແຍກ	Crossroads	siieinyk
ສີ່ແຍກ^ກາງເມືອງ	Intersection^in the middle of the city	siieinyk^kaangemyy`ng
ສີດ່າງ	Ink	siidaang
ສີດຳ	Black	siidam
ສີ່ເດືອນ	Four months	siiedyy`n
ສີແດງ	Red	siieidng
ສີແດງ^ເຂັ້ມ	Dark red	siieidng^ekhm
ສີແດງເຂັ້ມ	Dark red	siieidngekhm
ສີແດງແຈດ	Red	siieidngeichd
ສີເຖົ່າ	Gray	siiethoaa
ສີນ	Color	siin
ສີນີ	Sini	siinii
ສີພຣະຫັດ	Hand-painted	siiphrahd
ສີ່ພັນ	Four thousand	siiphn
ສີ່ພັນ^ຫົກຮ້ອຍ	Four thousand six hundred	siiphn^hok`ny
ສີຟະໂມດ	Color	siifaomd
ສີຟ້າ	Blue	siifaa
ສີມ່ວງ	Purple	siimwng
ສີມື	Skill	siimyy
ສີ່ແມັດ^ສີ່ສິບ	Four meters^forty	siieimd^siisib
ສີຣິໂອນ	Sirion	siirio`n
ສີລະປະກຳ	Art	siilapakam
ສີລາ	Stone	siilaa
ສີໂລອາມ	Siloam	siiol`aam
ສີວິໄລ	Civilization	siiwiail
ສີໜ້າ	Face color	siihnaa
ສີ່ໝື່ນ	Forty thousand	siihmyyn
ສີເຫລືອງ	Yellow	siiehlyy`ng
ສີໂຫນ	Color	siiohn
ສີອາ	Black	sii`aa
ສີອາຮາ	Color:	sii`aaaa
ສີ່ຮ້ອຍ	Four hundred	sii`ny
ສີ່ຮ້ອຍ^ເຈັດສິບພັນ	Four hundred and seventy thousand	sii`ny^echdsibphn
ສີ່ຮ້ອຍ^ສາມສິບ	Four hundred and thirty	sii`ny^saamsib
ສີ່ຮ້ອຍ^ແປດສິບ	Four hundred and eighty	sii`ny^eipdsib
ສີ່ຮ້ອຍ^ພັນ	Four hundred thousand	sii`ny^phn
ສີ່ຮ້ອຍ^ຫ້າສິບ	Four hundred and fifty	sii`ny^haasib
ສຶກ	Lake	syk
ສຶກສາ	Study	syksaa
ສຶບຄົ້ນ	Research	sybkhon
ສືບ	Continue	syyb
ສືບ^ເຊື້ອສາຍ	Genealogy	syyb^esyy`saany
ສືບ^ຕໍ່	Continue	syyb^hM
ສືບ^ຕໍ່ກັນ	Continue	syyb^hMkn
ສືບ^ຕໍ່ໄປ	Continue	syyb^hMaip
ສືບ^ຕໍ່ມາ	Continued	syyb^hMmaa
ສືບໆ	Always	syyb+
ສືບໆ^ໄປ	Keep going.	syyb+^aip
ສືບໆໄປ	Continue	syyb+aip
ສືບໆໄປ^ເປັນນິດ	Forever and ever	syyb+aip^epnnid
ສືບສວນ	Investigate	syybswn
ສືບຊາບ	Find out	syybsaab
ສືບຕໍ່	Continue	syybhM
ສືບຖາມ	Inquire	syybthaam
ສືບທອດ	Inherit	syybth`d
ສືບທອດ^ກັນມາ	Inheritance	syybth`d^knmaa
ສືບແທນ	Successor	syybeithn
ສືບເນື່ອງ	Continuous	syybenyy`ng
ສືບໄປ	Continue	syybaip
ສືບໄປ^ເປັນນິດ	Forever and ever	syybaip^epnnid
ສືບພັນ	Reproduction	syybphn
ສືບມາ	Continued	syybmaa
ສືບໜໍ່^ແທນແນວ	Continue to shoot instead of shoot.	syybhnM^eithneinw
ສືບຮູ້	Find out	syybuu
ສຸກ	Good	suk
ສຸກ^ສະບາຍ	Goodbye.	suk^sabaany
ສຸກກາຍ	Physical health	sukkaany
ສຸກກິດ	Good luck	sukkid
ສຸກຂະເສີມ	Sukkhara	sukkhaesiim
ສຸກຂະພາບ	Good health	sukkhaphaab
ສຸກຂຸມ	Good luck	sukkhum
ສຸກງອມ	Sukkhom	sukng`m
ສຸກໃຈ	Happy	sukaych
ສຸກໃຈ^ຫລາຍ	Very happy.	sukaych^hlaany
ສຸກສັນ	Happy	suksn
ສຸກໃສ	Happy	sukays
ສຸກລົ້ນ	Very good	suklon
ສຸກຫຼາຍ	Very nice	sukhlaany
ສຸຂະພາບ	Health	sukhaphaab
ສຸຂະພາບ^ດີ	Good health	sukhaphaab^dii
ສຸຂຸມ	Wise	sukhum
ສຸດ	Finally	sud
ສຸດ^ກຳລັງ	At full strength	sud^kamlng
ສຸດ^ສຽງ	On the sound	sud^snyng
ສຸດ^ຍອດ	The highest	sud^ny`d
ສຸດ^ທາງ	On the way	sud^thaang
ສຸດ^ປາຖະໜາ	Most desired	sud^paathahnaa
ສຸດ^ແຜ່ນດິນ	On the ground	sud^eiphndin
ສຸດ^ຫົວໃຈ	In the heart	sud^howaych
ສຸດຂາດ	Very poor	sudkhaad
ສຸດຂີດ	To the extreme	sudkhiid
ສຸດຈະຣິດ	Best wishes	sudcharid
ສຸດຈະຫລິດ	The end will come.	sudchahlid
ສຸດຈິດ	In the heart	sudchid
ສຸດຈິດ^ສຸດໃຈ	With all my heart, with all my heart	sudchid^sudaych
ສຸດໃຈ	With all my heart	sudaych
ສຸດສິ້ນ	End of the world	sudsin
ສຸດສຽງ	At the top of the voice	sudsnyng
ສຸດທ້າຍ	Finally	sudthaany
ສຸດທີ່ຮັກ	Dearest	sudthiik
ສຸດທີ່ຮັກ^ເອີຍ	My dearest,	sudthiik^e`iiny
ສຸດປາຍ	At the end	sudpaany
ສຸດເປັນ	Finally	sudepn
ສຸດຝາ	On the wall	sudfaa
ສຸດແລ້ວ	It's over.	sudeilw
ສຸດແລ້ວແຕ່	It's over.	sudeilweih
ສຸດແຮງ	Very strong	sudeing
ສຸບ	Supa	sub
ສຸບໃສ່	Put on	subays
ສຸພາສິດ	Proverbs	suphaasid
ສຸພາບ	Polite	suphaab
ສຸມ	Concentrate	sum
ສຸມ^ເຂົ້າມາ	Focus on	sum^ekhoaamaa
ສຸມກັນ	Concentrate	sumkn
ສຸມໃສ່	Focus	sumays
ສຸມໄຟ	Focus on fire	sumaif
ສຸຣະສຽງ	Voice	surasnyng
ສຸຣາ	Surah	suraa
ສຸລະສຽງ	Voice	sulasnyng
ສູ່	To	suu
ສູ້	Fight	suu
ສູ້^ກັບ	Fight with	suu^kb
ສູ້^ຄວາມ	Fight	suu^khwaam
ສູ້^ຄວາມ^ກັນ	Fight each other	suu^khwaam^kn
ສູ້^ຄວາມ^ກັບ	Fight for justice	suu^khwaam^kb
ສູ້^ຄະດີ	Fight a case.	suu^khadii
ສູ່^ພາກັນ	Come on, come on.	suu^phaakn
ສູກາດ	Market	suukaad
ສູ້ຄວາມ^ກັນ	Fight each other	suukhwaam^kn
ສູງ	High	suung
ສູງ^ຈຸ	High^Chu	suung^chu
ສູງ^ເດັ່ນ	High^Outstanding	suung^edn
ສູງ^ທັງຫລາຍ	All high.	suung^thnghlaany
ສູງ^ນັ້ນ	That high	suung^nn
ສູງ^ຫລາຍ	Very high	suung^hlaany
ສູງໆ	High	suung+
ສູງກວ່າ	Higher	suungkwaa
ສູງຂື້ນ	Higher	suungkhyyn
ສູງຈຸ	Tall	suungchu
ສູງສຸດ	Highest	suungsud
ສູງສຸດ^ເອີຍ	The highest.	suungsud^e`iiny
ສູງສົ່ງ	Noble	suungsong
ສູງພຸ້ນ	High above	suungphun
ສູ້ຊົນ	Strive	suuson
ສູດ	Recipe	suud
ສູ້ທົນ	Endure	suuthon
ສູນ	Center	suun
ສູນ^ການຄ້າ	Shopping center	suun^kaankhaa
ສູນກາງ	Center	suunkaang
ສູນສິ້ນ	Zero point	suunsin
ສູນສິ້ນ^ໄປ^ໝົດ	End of time^gone^all out	suunsin^aip^hmod
ສູນສິ້ນໄປ	The center is gone.	suunsinaip
ສູນເສຍ	Lost	suunesny
ສູນເສຍ^ອຳນາດ	Lose power	suunesny^`amnaad
ສູນເປົ່າ	Empty center	suunepoaa
ສູນໄປ	Lost	suunaip
ສູນຫາຍ	Lost	suunhaany
ສູນຫາຍ^ໄປ	Lost and gone	suunhaany^aip
ສູບ	Smoke	suub
ສູ່ຜົວເມຍ	To the husband and wife	suuphowemny
ສູ່ຟັງ	Listen	suufng
ສູ່ຢ້ານ	To be afraid	suuyaan
